name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
Mithapukur_132kVtoConfidencePP_132kV_Line2,Mithapukur_132kV,ConfidencePP_132kV,,2.785,0.628866,0.0,9.54e-05,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,15.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConfidencePP_132kVtoRangpur_132kV_Line1,ConfidencePP_132kV,Rangpur_132kV,,1.671,0.37732,0.0,5.724e-05,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,9.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConfidencePP_132kVtoRangpur_132kV_Line2,ConfidencePP_132kV,Rangpur_132kV,,1.671,0.37732,0.0,5.724e-05,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,9.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur_132kVtoTaraganj_132kV_Line1,Rangpur_132kV,Taraganj_132kV,,3.527667,0.796564,0.0,0.00012084,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,19.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur_132kVtoTaraganj_132kV_Line2,Rangpur_132kV,Taraganj_132kV,,3.527667,0.796564,0.0,0.00012084,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,19.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taraganj_132kVtoSaidpur_132kV_Line1,Taraganj_132kV,Saidpur_132kV,,3.991834,0.901375,0.0,0.00013674,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,21.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taraganj_132kVtoSaidpur_132kV_Line2,Taraganj_132kV,Saidpur_132kV,,3.991834,0.901375,0.0,0.00013674,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,21.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saidpur_132kVtoPurbasadipur_132kV_Line1,Saidpur_132kV,Purbasadipur_132kV,,4.548834,1.027148,0.0,0.00015582,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,24.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saidpur_132kVtoPurbasadipur_132kV_Line2,Saidpur_132kV,Purbasadipur_132kV,,4.548834,1.027148,0.0,0.00015582,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,24.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purbasadipur_132kVtoThakurgaon_132kV_Line1,Purbasadipur_132kV,Thakurgaon_132kV,,8.355002,1.886598,0.0,0.0002862,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,45.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
