name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
Chandraghona_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
ChapaiNawabganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
CharSaidpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Chauddagram_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Chhatak_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Chowdala_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Chowmuhani_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Chowmuhani_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Chuadanga_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
ConfidencePP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Cox's Bazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Cox'sBazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
CumillaNorth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
CumillaNorth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
CumillaNorth_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
CumillaSouth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Daganbhuiyan_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
DaudkandiPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Daudkandi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
DeshPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
