name,bus0,bus1,length,r,x,b,s_nom
BIPTC1_400kV_DCtoBangladesh Border1_400kV_DC_Line1,BIPTC1_400kV_DC,BangladeshBorder1_400kV_DC,27.35,0.804807,3.768373,0.000325465,1385.641
BIPTC1_400kV_DCtoBangladesh Border1_400kV_DC_Line2,BIPTC1_400kV_DC,BangladeshBorder1_400kV_DC,27.35,0.804807,3.768373,0.000325465,1385.641
Aminbazar_400kVtoMeghnaghat_400kV_Line1,Aminbazar_400kV,Meghnaghat_400kV,55.0,1.39403,6.367625,0.0013805,1987.009
Aminbazar_400kVtoMeghnaghat_400kV_Line2,Aminbazar_400kV,Meghnaghat_400kV,55.0,1.39403,6.367625,0.0013805,1987.009
CumillaNorth_400kVtoBangladesh Border_400kV_Line1,CumillaNorth_400kV,Bangladesh Border_400kV,28.0,0.823934,3.857932,0.0003332,1385.641
CumillaNorth_400kVtoBangladesh Border_400kV_Line2,CumillaNorth_400kV,Bangladesh Border_400kV,28.0,0.823934,3.857932,0.0003332,1385.641
Bibiyana_400kVtoKaliakoir_400kV_Line1,Bibiyana_400kV,Kaliakoir_400kV,169.5,4.987741,23.354269,0.00201705,1385.641
Bibiyana_400kVtoKaliakoir_400kV_Line2,Bibiyana_400kV,Kaliakoir_400kV,169.5,4.987741,23.354269,0.00201705,1385.641
AshuganjNorth_400kVtoBhulta_400kV_Line1,AshuganjNorth_400kV,Bhulta_400kV,69.0,2.030408,9.507048,0.0008211,1385.641
AshuganjNorth_400kVtoBhulta_400kV_Line2,AshuganjNorth_400kV,Bhulta_400kV,69.0,2.030408,9.507048,0.0008211,1385.641
Payra_400kVtoGopalganjNorth_400kV_Line1,Payra_400kV,GopalganjNorth_400kV,163.55,2.406328,17.705645,0.00444856,2771.281
Payra_400kVtoGopalganjNorth_400kV_Line2,Payra_400kV,GopalganjNorth_400kV,163.55,2.406328,17.705645,0.00444856,2771.281
BSRM_230kVtoMirsarai_230kV_Line1,BSRM_230kV,Mirsarai_230kV,16.5,0.485532,2.273424,0.00019635,796.743
BSRM_230kVtoMirsarai_230kV_Line2,BSRM_230kV,Mirsarai_230kV,16.5,0.485532,2.273424,0.00019635,796.743
BIPTC2_400kV_DCtoBangladeshBorder2_400kV_DC_Line1,BIPTC2_400kV_DC,BangladeshBorder2_400kV_DC,28.0,0.823934,3.857932,0.0003332,1385.641
