Row 3 contains the names of relevant pypsa variables,,,,,,,,
Line Name,Start Bus,End Bus,Length(km),Conductor,Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),Line Nominal Capacity (MVA)
name,bus0,bus1,,,r,x,b,s_nom
GhorashalSouthWest_230kVtoGhorashal_230kV_Line2,GhorashalSouthWest_230kV,Ghorashal_230kV,1.1,XLPE 2000 sq mm,0.015,0.12,2.00E-05,230
GhorashalSouthWest_230kVtoGhorashal_230kV_Line3,GhorashalSouthWest_230kV,Ghorashal_230kV,1.1,XLPE 2000 sq mm,0.015,0.12,2.00E-05,230
Shahjibazar_132kVtoBrahmanbaria_132kV_Line1,Shahjibazar_132kV,Brahmanbaria_132kV,57,Grosbeak,0.1101,0.2559,6.57E-06,132
Shahjibazar_132kVtoBrahmanbaria_132kV_Line2,Shahjibazar_132kV,Brahmanbaria_132kV,57,Grosbeak,0.1101,0.2559,6.57E-06,132
Brahmanbaria_132kVtoAshuganj_132kV_Line1,Brahmanbaria_132kV,Ashuganj_132kV,16.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Brahmanbaria_132kVtoAshuganj_132kV_Line2,Brahmanbaria_132kV,Ashuganj_132kV,16.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Ashuganj_132kVtoGhorashal_132kV_Line1,Ashuganj_132kV,Ghorashal_132kV,45.5,Grosbeak,0.08808,0.2559,6.57E-06,132
Ashuganj_132kVtoGhorashal_132kV_Line2,Ashuganj_132kV,Ghorashal_132kV,45.5,Grosbeak,0.08808,0.2559,6.57E-06,132
Ghorashal_132kVtoNarsingdi_132kV_Line1,Ghorashal_132kV,Narsingdi_132kV,13.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Ghorashal_132kVtoNarsingdi_132kV_Line2,Ghorashal_132kV,Narsingdi_132kV,13.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Narsingdi_132kVtoBhulta_132kV_Line1,Narsingdi_132kV,Bhulta_132kV,19,Grosbeak,0.1101,0.2559,6.57E-06,132
Narsingdi_132kVtoBhulta_132kV_Line2,Narsingdi_132kV,Bhulta_132kV,19,Grosbeak,,,,
Bhulta_132kVtoHaripur_132kV_Line1,Bhulta_132kV,Haripur_132kV,15,Grosbeak,0.08808,0.2559,6.57E-06,132
Bhulta_132kVtoHaripur_132kV_Line2,Bhulta_132kV,Haripur_132kV,15,Grosbeak,,,,
Shahjibazar_132kVtoSrimangal_132kV_Line1,Shahjibazar_132kV,Srimangal_132kV,36,Grosbeak,0.1101,0.2559,6.57E-06,132
Shahjibazar_132kVtoSrimangal_132kV_Line2,Shahjibazar_132kV,Srimangal_132kV,36,Grosbeak,0.1101,0.2559,6.57E-06,132
Srimangal_132kVtoFenchuganj_132kV_Line1,Srimangal_132kV,Fenchuganj_132kV,49,Grosbeak,0.1101,0.2559,6.57E-06,132
Srimangal_132kVtoFenchuganj_132kV_Line2,Srimangal_132kV,Fenchuganj_132kV,49,Grosbeak,0.1101,0.2559,6.57E-06,132
FenchuganjPS_132kVtoFenchuganj_132kV_Line1,FenchuganjPS_132kV,Fenchuganj_132kV,3.75,Grosbeak,0.08808,0.2559,6.57E-06,132
FenchuganjPS_132kVtoFenchuganj_132kV_Line2,FenchuganjPS_132kV,Fenchuganj_132kV,3.75,Grosbeak,0.08808,0.2559,6.57E-06,132
FenchuganjPS_132kVtoFenchuganj_132kV_Line3,FenchuganjPS_132kV,Fenchuganj_132kV,3.75,Grosbeak,0.08808,0.2559,6.57E-06,132
FenchuganjPS_132kVtoFenchuganj_132kV_Line4,FenchuganjPS_132kV,Fenchuganj_132kV,3.75,Grosbeak,0.08808,0.2559,6.57E-06,132
FenchuganjPS_132kVtoSylhetSouth_132kV_Line1,SylhetSouth_132kV,Fenchuganj_132kV,5,Grosbeak,0.08808,0.2559,6.57E-06,132
SylhetSouth_132kVtoFenchuganj_132kV_Line1,SylhetSouth_132kV,Fenchuganj_132kV,25,Grosbeak,0.08808,0.2559,6.57E-06,132
Sylhet_132kVtoSylhetSouth_132kV_Line1,Sylhet_132kV,SylhetSouth_132kV,5,Grosbeak,0.1101,0.2559,6.57E-06,132
Sylhet_132kVtoSylhetSouth_132kV_Line2,Sylhet_132kV,SylhetSouth_132kV,5,Grosbeak,0.1101,0.2559,6.57E-06,132
Sylhet_132kVtoChhatak_132kV_Line1,Sylhet_132kV,Chhatak_132kV,33,Grosbeak,0.1101,0.2559,6.57E-06,132
Sylhet_132kVtoChhatak_132kV_Line2,Sylhet_132kV,Chhatak_132kV,33,Grosbeak,0.1101,0.2559,6.57E-06,132
Kaptai_132kVtoHathazari_132kV_Line1,Kaptai_132kV,Hathazari_132kV,45,Grosbeak,0.1101,0.2559,6.57E-06,132
Kaptai_132kVtoHathazari_132kV_Line2,Kaptai_132kV,Hathazari_132kV,45,Grosbeak,0.1101,0.2559,6.57E-06,132
Hathazari_132kVtoBaroirhat_132kV_Line1,Hathazari_132kV,Baroirhat_132kV,63.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Hathazari_132kVtoBaroirhat_132kV_Line2,Hathazari_132kV,Baroirhat_132kV,63.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Feni_132kVtoCumillaNorth_132kV_Line1,Feni_132kV,CumillaNorth_132kV,66,Grosbeak,0.1101,0.2559,6.57E-06,132
Feni_132kVtoCumillaNorth_132kV_Line2,Feni_132kV,CumillaNorth_132kV,66,Grosbeak,0.1101,0.2559,6.57E-06,132
CumillaNorth_132kVtoMuradnagar_132kV_Line1,CumillaNorth_132kV,Muradnagar_132kV,29,Grosbeak,0.1101,0.2559,6.57E-06,132
CumillaNorth_132kVtoMuradnagar_132kV_Line2,CumillaNorth_132kV,Muradnagar_132kV,29,Grosbeak,0.1101,0.2559,6.57E-06,132
Muradnagar_132kVtoDaudkandi_132kV_Line1,Muradnagar_132kV,Daudkandi_132kV,26,Grosbeak,,,,
Muradnagar_132kVtoDaudkandi_132kV_Line2,Muradnagar_132kV,Daudkandi_132kV,26,Grosbeak,,,,
Daudkandi_132kVtoSonargaon_132kV_Line1,Daudkandi_132kV,Sonargaon_132kV,61.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Daudkandi_132kVtoSonargaon_132kV_Line2,Daudkandi_132kV,Sonargaon_132kV,61.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Sonargaon_132kVtoHaripur_132kV_Line1,Sonargaon_132kV,Haripur_132kV,15,Grosbeak,0.1101,0.2559,6.57E-06,132
Sonargaon_132kVtoHaripur_132kV_Line2,Sonargaon_132kV,Haripur_132kV,15,Grosbeak,0.1101,0.2559,6.57E-06,132
Haripur_132kVtoSiddhirganj_132kV_Line1,Haripur_132kV,Siddhirganj_132kV,2.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Haripur_132kVtoSiddhirganj_132kV_Line2,Haripur_132kV,Siddhirganj_132kV,2.5,Grosbeak,0.1101,0.2559,6.57E-06,132
CumillaNorth_132kVtoKachua_132kV_Line1,CumillaNorth_132kV,Kachua_132kV,56,Grosbeak,0.1101,0.2559,6.57E-06,132
CumillaSouth_132kVtoKachua_132kV_Line1,CumillaSouth_132kV,Kachua_132kV,40,Linnet,0.1101,0.2559,6.57E-06,132
Kachua_132kVtoChandpur_132kV_Line1,Kachua_132kV,Chandpur_132kV,22,Grosbeak,,,,
Kachua_132kVtoChandpur_132kV_Line2,Kachua_132kV,Chandpur_132kV,22,Grosbeak,,,,
Ashuganj_132kVtoBajitpur_132kV_Line1,Ashuganj_132kV,Bajitpur_132kV,21,Grosbeak,0.08808,0.2559,6.57E-06,132
Ashuganj_132kVtoBajitpur_132kV_Line2,Ashuganj_132kV,Bajitpur_132kV,21,Grosbeak,0.08808,0.2559,6.57E-06,132
Bajitpur_132kVtoKishoreganj_132kV_Line1,Bajitpur_132kV,Kishoreganj_132kV,31,Grosbeak,,,,
Bajitpur_132kVtoKishoreganj_132kV_Line2,Bajitpur_132kV,Kishoreganj_132kV,31,Grosbeak,,,,
Kishoreganj_132kVtoMymensingh_132kV_Line1,Kishoreganj_132kV,Mymensingh_132kV,59,Grosbeak,0.1101,0.2559,6.57E-06,132
Kishoreganj_132kVtoMymensingh_132kV_Line2,Kishoreganj_132kV,Mymensingh_132kV,59,Grosbeak,0.1101,0.2559,6.57E-06,132
Mymensingh_132kVtoJamalpur_132kV_Line1,Mymensingh_132kV,Jamalpur_132kV,55,Grosbeak,0.08808,0.2559,6.57E-06,132
Mymensingh_132kVtoJamalpur_132kV_Line2,Mymensingh_132kV,Jamalpur_132kV,55,Grosbeak,0.08808,0.2559,6.57E-06,132
Madunaghat_132kVtoSikalbaha_132kV_Line1,Madunaghat_132kV,Sikalbaha_132kV,17,Grosbeak,0.1101,0.2559,6.57E-06,132
Madunaghat_132kVtoTKCCL_132kV_Line1,Madunaghat_132kV,TKCCL_132kV,9,Grosbeak,0.1101,0.2559,6.57E-06,132
TKCCL_132kVtoSikalbaha_132kV_Line1,TKCCL_132kV,Sikalbaha_132kV,9,Grosbeak,0.1101,0.2559,6.57E-06,132
Sikalbaha_132kVtoPatiya_132kV_Line1,Sikalbaha_132kV,Patiya_132kV,11,Grosbeak,0.08808,0.2559,6.57E-06,132
Sikalbaha_132kVtoPatiya_132kV_Line2,Sikalbaha_132kV,Patiya_132kV,11,Grosbeak,0.08808,0.2559,6.57E-06,132
Patiya_132kVtoDohazari_132kV_Line1,Patiya_132kV,Dohazari_132kV,21,Grosbeak,,,,
Patiya_132kVtoDohazari_132kV_Line2,Patiya_132kV,Dohazari_132kV,21,Grosbeak,,,,
Sikalbaha_132kVtoJuldah_132kV_Line1,Sikalbaha_132kV,Juldah_132kV,8,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Juldah_132kVtoHalishahar_132kV_Line1,Juldah_132kV,Halishahar_132kV,8,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Khulshi_132kVtoBaroaulia_132kV_Line1,Khulshi_132kV,Baroaulia_132kV,15,Grosbeak,0.1101,0.2559,6.57E-06,132
Khulshi_132kVtoAKSML_132kV_Line1,Khulshi_132kV,AKSML_132kV,11,Grosbeak,0.1101,0.2559,6.57E-06,132
AKSML_132kVtoBaroaulia_132kV_Line1,AKSML_132kV,Baroaulia_132kV,4,Grosbeak,0.1101,0.2559,6.57E-06,132
Madunaghat_132kVtoSholoshahar_132kV_Line1,Madunaghat_132kV,Sholoshahar_132kV,6.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Madunaghat_132kVtoSholoshahar_132kV_Line2,Madunaghat_132kV,Sholoshahar_132kV,6.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Sholoshahar_132kVtoKhulshi_132kV_Line1,Sholoshahar_132kV,Khulshi_132kV,6.5,Grosbeak,,,,
Sholoshahar_132kVtoKhulshi_132kV_Line2,Sholoshahar_132kV,Khulshi_132kV,6.5,Grosbeak,,,,
Kaptai_132kVtoChandraghona_132kV_Line1,Kaptai_132kV,Chandraghona_132kV,11.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Kaptai_132kVtoChandraghona_132kV_Line2,Kaptai_132kV,Chandraghona_132kV,11.5,Grosbeak,0.1101,0.2559,6.57E-06,132
Chandraghona_132kVtoMadunaghat_132kV_Line1,Chandraghona_132kV,Madunaghat_132kV,27,Grosbeak,0.1101,0.2559,6.57E-06,132
Chandraghona_132kVtoMadunaghat_132kV_Line2,Chandraghona_132kV,Madunaghat_132kV,27,Grosbeak,0.1101,0.2559,6.57E-06,132
Madunaghat_132kVtoHathazari_132kV_Line1,Madunaghat_132kV,Hathazari_132kV,10,Grosbeak,0.1101,0.2559,6.57E-06,132
Madunaghat_132kVtoHathazari_132kV_Line2,Madunaghat_132kV,Hathazari_132kV,10,Grosbeak,0.1101,0.2559,6.57E-06,132
Hathazari_132kVtoBaroaulia_132kV_Line1,Hathazari_132kV,Baroaulia_132kV,11,Grosbeak,0.1101,0.2559,6.57E-06,132
Hathazari_132kVtoBaroaulia_132kV_Line2,Hathazari_132kV,Baroaulia_132kV,11,Grosbeak,0.1101,0.2559,6.57E-06,132
Dohazari_132kVtoCox'sBazar_132kV_Line1,Dohazari_132kV,Cox'sBazar_132kV,87,Grosbeak,0.08808,0.2559,6.57E-06,132
Dohazari_132kVtoCox'sBazar_132kV_Line2,Dohazari_132kV,Cox'sBazar_132kV,87,Grosbeak,0.08808,0.2559,6.57E-06,132
Feni_132kVtoDaganbhuiyan_132kV_Line1,Feni_132kV,Daganbhuiyan_132kV,16,Grosbeak,0.1101,0.2559,6.57E-06,132
Feni_132kVtoDaganbhuiyan_132kV_Line2,Feni_132kV,Daganbhuiyan_132kV,16,Grosbeak,0.1101,0.2559,6.57E-06,132
Daganbhuiyan_132kVtoChowmuhani_132kV_Line1,Daganbhuiyan_132kV,Chowmuhani_132kV,16,Grosbeak,,,,
Daganbhuiyan_132kVtoChowmuhani_132kV_Line2,Daganbhuiyan_132kV,Chowmuhani_132kV,16,Grosbeak,,,,
Baroaulia_132kVtoKSRM_132kV_Line1,Baroaulia_132kV,KSRM_132kV,4,Grosbeak,0.1101,0.2559,6.57E-06,132
Mymensingh_132kVtoNetrokona_132kV_Line1,Mymensingh_132kV,Netrokona_132kV,34,Grosbeak,0.1101,0.2559,6.57E-06,132
Mymensingh_132kVtoNetrokona_132kV_Line2,Mymensingh_132kV,Netrokona_132kV,34,Grosbeak,0.1101,0.2559,6.57E-06,132
KhulnaCentral_132kVtoNoapara_132kV_Line1,KhulnaCentral_132kV,Noapara_132kV,23,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
KhulnaCentral_132kVtoNoapara_132kV_Line2,KhulnaCentral_132kV,Noapara_132kV,23,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Noapara_132kVtoJashore_132kV_Line1,Noapara_132kV,Jashore_132kV,28,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Noapara_132kVtoJashore_132kV_Line2,Noapara_132kV,Jashore_132kV,28,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Jashore_132kVtoKaliganj_132kV_Line1,Jashore_132kV,Kaliganj_132kV,32,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Jashore_132kVtoKaliganj_132kV_Line2,Jashore_132kV,Kaliganj_132kV,32,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Kaliganj_132kVtoJhenaidahSouth_132kV_Line1,Kaliganj_132kV,JhenaidahSouth_132kV,15.5,AAAC 804 sq mm,,,,
Kaliganj_132kVtoJhenaidahSouth_132kV_Line2,Kaliganj_132kV,JhenaidahSouth_132kV,15.5,AAAC 804 sq mm,,,,
Jhenaidah_132kVtoKushtia_132kV_Line1,Jhenaidah_132kV,Kushtia_132kV,43,AAAC 804 sq mm,0.082575,0.2559,6.57E-06,132
Jhenaidah_132kVtoKushtia_132kV_Line2,Jhenaidah_132kV,Kushtia_132kV,43,AAAC 804 sq mm,0.082575,0.2559,6.57E-06,132
Kushtia_132kVtoBheramara_132kV_Line1,Kushtia_132kV,Bheramara_132kV,23,AAAC 804 sq mm,0.08808,0.2559,6.57E-06,132
Kushtia_132kVtoBheramara_132kV_Line2,Kushtia_132kV,Bheramara_132kV,23,AAAC 804 sq mm,0.08808,0.2559,6.57E-06,132
Bheramara_132kVtoIshwardi_132kV_Line1,Bheramara_132kV,Ishwardi_132kV,10,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
Bheramara_132kVtoIshwardi_132kV_Line2,Bheramara_132kV,Ishwardi_132kV,10,AAAC 804 sq mm,0.09909,0.2559,6.57E-06,132
