name,substation,v_nom,carrier,transformer_detail,total_capacity_mva,ownership,grid_circle,implicit
Bajitpur_132kV,Bajitpur,132,AC,2x80/120,240,POWER GRID,Dhaka(N),False
Bakulia_132kV,Bakulia,132,AC,2x48/64 2x50/75,278,POWER GRID,Chattogram,False
Bangabhaban_132kV,Bangabhaban,132,AC,"1x28/35, 1x80/120",155,DPDC,Dhaka(S),False
Bhangura_132kV,Bhangura,132,AC,2x50/75,150,POWER GRID,Bogura,False
Barguna_132kV,Barguna,132,AC,2x50/75,150,POWER GRID,Khulna,False
Barapukuria_132kV,Barapukuria,132,AC,"1x50/75, 2x25/41",157,POWER GRID,Bogura,False
Barishal_132kV,Barishal,132,AC,"1x80/120, 1x50/75",195,POWER GRID,Khulna,False
Barishal(N)_132kV,Barishal(N),132,AC,2x80/120,240,POWER GRID,Khulna,False
Baroaulia_132kV,Baroaulia,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Bashundhara_132kV,Bashundhara,132,AC,3x80/120,360,DESCO,Dhaka(N),False
Bashundhara Cement_132kV,Bashundhara Cement,132,AC,1x35,35,Bulk,Dhaka(S),False
Banani_132kV,Banani,132,AC,2x80/120,240,DESCO,Dhaka(N),False
Baroirhat_132kV,Baroirhat,132,AC,2x50/75,150,POWER GRID,Chattogram,False
Beanibazar_132kV,Beanibazar,132,AC,2x50/75,150,POWER GRID,Cumilla,False
Bhaluka_132kV,Bhaluka,132,AC,2x80/120,240,POWER GRID,Dhaka(N),False
Benapole_132kV,Benapole,132,AC,2x50/75,150,POWER GRID,Khulna,False
Bhandaria_132kV,Bhandaria,132,AC,"1x50/75, 1x25/41",116,POWER GRID,Khulna,False
Bhasantek_132kV,Bhasantek,132,AC,2x80/120,240,POWER GRID,Dhaka(N),False
Bheramara_132kV,Bheramara,132,AC,"3x25/41, 1x15/20",143,POWER GRID,HVDC,False
Bhulta_132kV,Bhulta,132,AC,2x80/120,240,POWER GRID,Dhaka(S),False
BMPIL_132kV,BMPIL,132,AC,1x50/75,75,Bulk,Dhaka(S),False
Bogura_132kV,Bogura,132,AC,4x80/120,480,POWER GRID,Bogura,False
Brahmanbaria_132kV,Brahmanbaria,132,AC,2x80/120 1x25/41,281,POWER GRID,Cumilla,False
BSRM(Khulshi)_132kV,BSRM(Khulshi),132,AC,1x64/80,80,Bulk,Chattogram,False
Chandpur_132kV,Chandpur,132,AC,3x50/75,225,POWER GRID,Cumilla,False
Chandraghona_132kV,Chandraghona,132,AC,"1x50/75, 1x25/41",116,POWER GRID,Chattogram,False
Chapai Nawabganj_132kV,Chapai Nawabganj,132,AC,"1x15/20, 2x50/75, 1x25/41 Pag",e 2 of 6 1,POWER GRID,Bogura,False
Char Saidpur_132kV,Char Saidpur,132,AC,2x80/120,240,DPDC,Dhaka(S),False
Chauddagram_132kV,Chauddagram,132,AC,2x50/75,150,POWER GRID,Cumilla,False
Chhatak_132kV,Chhatak,132,AC,"2x15/20,1x25/41",81,POWER GRID,Cumilla,False
Chandina_132kV,Chandina,132,AC,2x80/120,240,POWER GRID,Cumilla,False
Chowdala_132kV,Chowdala,132,AC,2x50/75,150,POWER GRID,Bogura,False
Chowmuhani_132kV,Chowmuhani,132,AC,3x80/120,360,POWER GRID,Cumilla,False
Chuadanga_132kV,Chuadanga,132,AC,2x50/75 1x25/41,191,POWER GRID,HVDC,False
Cumilla (N)_132kV,Cumilla (N),132,AC,3x50/75,225,POWER GRID,Cumilla,False
Cumilla (S)_132kV,Cumilla (S),132,AC,4x50/75,300,POWER GRID,Cumilla,False
Cox's Bazar_132kV,Cox's Bazar,132,AC,"2x80/120, 1x50/75",315,POWER GRID,Chattogram,False
Daganbhuiyan_132kV,Daganbhuiyan,132,AC,1x80/120,120,POWER GRID,Cumilla,False
Dhaka University (DU)_132kV,Dhaka University (DU),132,AC,2x80/120,240,DPDC,Dhaka(S),False
Daudkandi_132kV,Daudkandi,132,AC,3x50/75,225,POWER GRID,Cumilla,False
Dhamrai_132kV,Dhamrai,132,AC,2x50/75,150,POWER GRID,Dhaka(N),False
Dhanmondi_132kV,Dhanmondi,132,AC,1x50/75 3x80/120,435,DPDC,Dhaka(N),False
Dohazari_132kV,Dohazari,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Faridpur_132kV,Faridpur,132,AC,"2x80/120, 1x25/41",281,POWER GRID,Khulna,False
Fatullah_132kV,Fatullah,132,AC,2x80/120,240,DPDC,Dhaka(S),False
Fenchuganj_132kV,Fenchuganj,132,AC,"2x15/20,1x25/41",81,POWER GRID,Cumilla,False
Feni_132kV,Feni,132,AC,2x80/120,240,POWER GRID,Cumilla,False
