line_name,bus0,bus1,Length(km),Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),s_nom (MVA)
Amtali Switching_400kVtoPayra_400kV_Line2,Amtali Switching_400kV,Payra_400kV,9.45,0.013593,0.075809,2.8674e-05,400
Amtali Switching_400kVtoRNPP_400kV_Line1,Amtali Switching_400kV,RNPP_400kV,9.9,0.015992,0.075809,2.8674e-05,400
Amtali Switching_400kVtoRNPP_400kV_Line2,Amtali Switching_400kV,RNPP_400kV,9.9,0.015992,0.075809,2.8674e-05,400
Bogura_132kVtoKaliakoir_400kV_Line1,Bogura_132kV,Kaliakoir_400kV,73.0,0.013593,0.075809,2.8674e-05,400
Bogura_132kVtoKaliakoir_400kV_Line2,Bogura_132kV,Kaliakoir_400kV,73.0,0.013593,0.075809,2.8674e-05,400
Aminbazar_400kVtoKaliakoir_400kV_Line1,Aminbazar_400kV,Kaliakoir_400kV,51.0,0.013593,0.075809,2.8674e-05,400
RNPP_400kVtoGopalganj_132kV_Line1,RNPP_400kV,Gopalganj_132kV,156.0,0.013593,0.075809,2.8674e-05,400
RNPP_400kVtoGopalganj_132kV_Line1,RNPP_400kV,Gopalganj_132kV,2.0,0.013593,0.075809,2.8674e-05,400
Madunaghat_400kVtoKorerhat_400kV_Line1,Madunaghat_400kV,Korerhat_400kV,0.0,0.015992,0.075809,2.8674e-05,400
Madunaghat_400kVtoKorerhat_400kV_Line2,Madunaghat_400kV,Korerhat_400kV,0.0,0.015992,0.075809,2.8674e-05,400
Madunaghat_400kVtoKorerhat_400kV_Line3,Madunaghat_400kV,Korerhat_400kV,0.0,0.015992,0.075809,2.8674e-05,400
Madunaghat_400kVtoKorerhat_400kV_Line4,Madunaghat_400kV,Korerhat_400kV,0.0,0.015992,0.075809,2.8674e-05,400
Ghorashal_230kVtoIshwardi_230kV_Line1,Ghorashal_230kV,Ishwardi_230kV,175.0,0.08831,0.2441,6.8729e-06,230
Ghorashal_230kVtoIshwardi_230kV_Line2,Ghorashal_230kV,Ishwardi_230kV,175.0,0.08831,0.2441,6.8729e-06,230
Tongi_230kVtoGhorashal_230kV_Line1,Tongi_230kV,Ghorashal_230kV,27.0,0.070648,0.2441,6.8729e-06,230
Tongi_230kVtoGhorashal_230kV_Line2,Tongi_230kV,Ghorashal_230kV,27.0,0.070648,0.2441,6.8729e-06,230
Ghorashal_230kVtoAshuganj_230kV_Line1,Ghorashal_230kV,Ashuganj_230kV,44.0,0.08831,0.2441,6.8729e-06,230
Ghorashal_230kVtoAshuganj_230kV_Line2,Ghorashal_230kV,Ashuganj_230kV,44.0,0.08831,0.2441,6.8729e-06,230
Raozan_230kVtoHathazari_230kV_Line1,Raozan_230kV,Hathazari_230kV,22.5,0.1101,0.2559,6.5703e-06,230
Raozan_230kVtoHathazari_230kV_Line2,Raozan_230kV,Hathazari_230kV,22.5,0.1101,0.2559,6.5703e-06,230
Ashuganj_230kVtoCumilla (N)_230kV_Line1,Ashuganj_230kV,Cumilla (N)_230kV,79.0,0.06397,0.2362,7.1685e-06,230
Ashuganj_230kVtoCumilla (N)_230kV_Line2,Ashuganj_230kV,Cumilla (N)_230kV,79.0,0.06397,0.2362,7.1685e-06,230
Ghorashal_230kVtoRampura_230kV_Line1,Ghorashal_230kV,Rampura_230kV,50.0,0.044155,0.133679,1.3746e-05,230
Ghorashal_230kVtoRampura_230kV_Line2,Ghorashal_230kV,Rampura_230kV,50.0,0.044155,0.133679,1.3746e-05,230
Rampura_230kVtoHaripur_230kV_Line1,Rampura_230kV,Haripur_230kV,22.0,0.044155,0.133679,1.3746e-05,230
Rampura_230kVtoHaripur_230kV_Line2,Rampura_230kV,Haripur_230kV,22.0,0.044155,0.133679,1.3746e-05,230
Haripur_230kVtoMeghnaghat_400kV_Line1,Haripur_230kV,Meghnaghat_400kV,12.5,0.044155,0.133679,1.3746e-05,230
Haripur_230kVtoMeghnaghat_400kV_Line2,Haripur_230kV,Meghnaghat_400kV,12.5,0.044155,0.133679,1.3746e-05,230
Meghnaghat_400kVtoHasnabad_230kV_Line1,Meghnaghat_400kV,Hasnabad_230kV,24.5,0.044155,0.133679,1.3746e-05,230
Meghnaghat_400kVtoHasnabad_230kV_Line2,Meghnaghat_400kV,Hasnabad_230kV,24.5,0.044155,0.133679,1.3746e-05,230
Cumilla (N)_230kVtoHathazari_230kV_Line1,Cumilla (N)_230kV,Hathazari_230kV,151.0,0.06397,0.2362,7.1685e-06,230
Cumilla (N)_230kVtoHathazari_230kV_Line2,Cumilla (N)_230kV,Hathazari_230kV,151.0,0.06397,0.2362,7.1685e-06,230
Haripur_230kVtoHaripur_230kV_Line1,Haripur_230kV,Haripur_230kV,2.4,0.06397,0.2362,7.1685e-06,230
Haripur_230kVtoHaripur_230kV_Line2,Haripur_230kV,Haripur_230kV,2.4,0.06397,0.2362,7.1685e-06,230
Cumilla (N)_230kVtoMeghnaghat_400kV_Line1,Cumilla (N)_230kV,Meghnaghat_400kV,58.0,0.044155,0.133679,1.3746e-05,230
Cumilla (N)_230kVtoMeghnaghat_400kV_Line2,Cumilla (N)_230kV,Meghnaghat_400kV,58.0,0.044155,0.133679,1.3746e-05,230
Tongi_230kVtoAminbazar_230kV_Line1,Tongi_230kV,Aminbazar_230kV,25.2,0.049545,0.140636,1.3141e-05,230
Tongi_230kVtoAminbazar_230kV_Line2,Tongi_230kV,Aminbazar_230kV,25.2,0.049545,0.140636,1.3141e-05,230
Aminbazar_230kVtoHasnabad_230kV_Line1,Aminbazar_230kV,Hasnabad_230kV,21.5,0.049545,0.140636,1.3141e-05,230
Aminbazar_230kVtoHasnabad_230kV_Line2,Aminbazar_230kV,Hasnabad_230kV,21.5,0.049545,0.140636,1.3141e-05,230
Siddhirganj_230kVtoHaripur_230kV_Line1,Siddhirganj_230kV,Haripur_230kV,1.5,0.06397,0.2362,7.1685e-06,230
Ashuganj_230kVtoSirajganj_132kV_Line1,Ashuganj_230kV,Sirajganj_132kV,144.0,0.049545,0.140636,1.3141e-05,230
Ashuganj_230kVtoSirajganj_132kV_Line2,Ashuganj_230kV,Sirajganj_132kV,144.0,0.049545,0.140636,1.3141e-05,230
Khulna (S)_230kVtoBheramara_230kV_Line1,Khulna (S)_230kV,Bheramara_230kV,176.5,0.049545,0.140636,1.3141e-05,230
Khulna (S)_230kVtoBheramara_230kV_Line2,Khulna (S)_230kV,Bheramara_230kV,176.5,0.049545,0.140636,1.3141e-05,230
Bheramara_230kVtoIshwardi_230kV_Line1,Bheramara_230kV,Ishwardi_230kV,10.1,0.049545,0.140636,1.3141e-05,230
Bheramara_230kVtoIshwardi_230kV_Line2,Bheramara_230kV,Ishwardi_230kV,10.1,0.049545,0.140636,1.3141e-05,230
Bogura (S)_230kVtoBarapukuria_230kV_Line1,Bogura (S)_230kV,Barapukuria_230kV,106.0,0.049545,0.140636,1.3141e-05,230
Bogura (S)_230kVtoBarapukuria_230kV_Line2,Bogura (S)_230kV,Barapukuria_230kV,106.0,0.049545,0.140636,1.3141e-05,230
Sirajganj_132kVtoBogura (S)_230kV_Line1,Sirajganj_132kV,Bogura (S)_230kV,72.5,0.049545,0.140636,1.3141e-05,230
Sirajganj_132kVtoBogura (S)_230kV_Line2,Sirajganj_132kV,Bogura (S)_230kV,72.5,0.049545,0.140636,1.3141e-05,230
Ishwardi_230kVtoBaghabari_230kV_Line1,Ishwardi_230kV,Baghabari_230kV,55.0,0.049545,0.140636,1.3141e-05,230
Ishwardi_230kVtoBaghabari_230kV_Line2,Ishwardi_230kV,Baghabari_230kV,55.0,0.049545,0.140636,1.3141e-05,230
Baghabari_230kVtoSirajganj_132kV_Line1,Baghabari_230kV,Sirajganj_132kV,38.0,0.049545,0.140636,1.3141e-05,230
Baghabari_230kVtoSirajganj_132kV_Line2,Baghabari_230kV,Sirajganj_132kV,38.0,0.049545,0.140636,1.3141e-05,230
Fenchuganj_230kVtoBibiyana_230kV_Line1,Fenchuganj_230kV,Bibiyana_230kV,33.5,0.044155,0.133679,1.3746e-05,230
Fenchuganj_230kVtoBibiyana_230kV_Line2,Fenchuganj_230kV,Bibiyana_230kV,33.5,0.044155,0.133679,1.3746e-05,230
Bibiyana_230kVtoCumilla (N)_230kV_Line1,Bibiyana_230kV,Cumilla (N)_230kV,153.5,0.044155,0.133679,1.3746e-05,230
Bibiyana_230kVtoCumilla (N)_230kV_Line2,Bibiyana_230kV,Cumilla (N)_230kV,153.5,0.044155,0.133679,1.3746e-05,230
Aminbazar_230kVtoAgargaon_230kV_Line1,Aminbazar_230kV,Agargaon_230kV,3.5,0.044155,0.133679,1.3746e-05,230
Aminbazar_230kVtoAgargaon_230kV_Line2,Aminbazar_230kV,Agargaon_230kV,3.5,0.044155,0.133679,1.3746e-05,230
Aminbazar_230kVtoAgargaon_230kV_Line1,Aminbazar_230kV,Agargaon_230kV,4.0,0.015,0.12,2e-05,230
Aminbazar_230kVtoAgargaon_230kV_Line2,Aminbazar_230kV,Agargaon_230kV,4.0,0.015,0.12,2e-05,230
Siddhirganj_230kVtoManiknagar_230kV_Line1,Siddhirganj_230kV,Maniknagar_230kV,11.0,0.044155,0.133679,1.3746e-05,230
Siddhirganj_230kVtoManiknagar_230kV_Line2,Siddhirganj_230kV,Maniknagar_230kV,11.0,0.044155,0.133679,1.3746e-05,230
Bhola_230kVtoBarishal (N)_230kV_Line1,Bhola_230kV,Barishal (N)_230kV,62.5,0.044155,0.133679,1.3746e-05,230
Bhola_230kVtoBarishal (N)_230kV_Line2,Bhola_230kV,Barishal (N)_230kV,62.5,0.044155,0.133679,1.3746e-05,230
BSRM_230kVtoCumilla (N)_230kV_Line1,BSRM_230kV,Cumilla (N)_230kV,0.5,0.06397,0.2362,7.1685e-06,230
BSRM_230kVtoCumilla (N)_230kV_Line2,BSRM_230kV,Cumilla (N)_230kV,0.5,0.06397,0.2362,7.1685e-06,230
AKSPL_230kVtoCumilla (N)_230kV_Line1,AKSPL_230kV,Cumilla (N)_230kV,6.5,0.06397,0.2362,7.1685e-06,230
AKSPL_230kVtoCumilla (N)_230kV_Line2,AKSPL_230kV,Cumilla (N)_230kV,6.5,0.06397,0.2362,7.1685e-06,230
Kaliakoir_230kVtoAminbazar_230kV_Line1,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.049545,0.140636,1.3141e-05,230
Kaliakoir_230kVtoAminbazar_230kV_Line2,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.049545,0.140636,1.3141e-05,230
Kaliakoir_230kVtoAminbazar_230kV_Line3,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.049545,0.140636,1.3141e-05,230
Kaliakoir_230kVtoAminbazar_230kV_Line4,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.049545,0.140636,1.3141e-05,230
Bheramara_230kVtoBheramara_230kV_Line1,Bheramara_230kV,Bheramara_230kV,6.0,0.049545,0.140636,1.3141e-05,230
Bheramara_230kVtoBheramara_230kV_Line2,Bheramara_230kV,Bheramara_230kV,6.0,0.049545,0.140636,1.3141e-05,230
Bhulta_230kVtoGhorashal_230kV_Line1,Bhulta_230kV,Ghorashal_230kV,2.0,0.044155,0.133679,1.3746e-05,230
Bhulta_230kVtoGhorashal_230kV_Line2,Bhulta_230kV,Ghorashal_230kV,2.0,0.044155,0.133679,1.3746e-05,230
Bhulta_230kVtoHaripur_230kV_Line1,Bhulta_230kV,Haripur_230kV,2.5,0.044155,0.133679,1.3746e-05,230
Bhulta_230kVtoHaripur_230kV_Line2,Bhulta_230kV,Haripur_230kV,2.5,0.044155,0.133679,1.3746e-05,230
Bhulta_230kVtoHaripur_230kV_Line3,Bhulta_230kV,Haripur_230kV,2.5,0.044155,0.133679,1.3746e-05,230
Bhulta_230kVtoHaripur_230kV_Line4,Bhulta_230kV,Haripur_230kV,2.5,0.044155,0.133679,1.3746e-05,230
Haripur_230kVtoSiddhirganj_230kV_Line1,Haripur_230kV,Siddhirganj_230kV,1.65,0.044155,0.133679,1.3746e-05,230
Haripur_230kVtoSiddhirganj_230kV_Line2,Haripur_230kV,Siddhirganj_230kV,1.65,0.044155,0.133679,1.3746e-05,230
Bheramara_230kVtoIshwardi_230kV_Line1,Bheramara_230kV,Ishwardi_230kV,12.8,0.022077,0.078468,2.7491e-05,230
Bheramara_230kVtoIshwardi_230kV_Line2,Bheramara_230kV,Ishwardi_230kV,12.8,0.022077,0.078468,2.7491e-05,230
Kodda_132kVtoTongi_230kV_Line1,Kodda_132kV,Tongi_230kV,1.0,0.044155,0.133679,1.3746e-05,230
Kodda_132kVtoTongi_230kV_Line2,Kodda_132kV,Tongi_230kV,1.0,0.044155,0.133679,1.3746e-05,230
Keraniganj_230kVtoHasnabad_230kV_Line1,Keraniganj_230kV,Hasnabad_230kV,0.5,0.044155,0.133679,1.3746e-05,230
Keraniganj_230kVtoHasnabad_230kV_Line2,Keraniganj_230kV,Hasnabad_230kV,0.5,0.044155,0.133679,1.3746e-05,230
Keraniganj_230kVtoHasnabad_230kV_Line3,Keraniganj_230kV,Hasnabad_230kV,0.5,0.044155,0.133679,1.3746e-05,230
Keraniganj_230kVtoHasnabad_230kV_Line4,Keraniganj_230kV,Hasnabad_230kV,0.5,0.044155,0.133679,1.3746e-05,230
Sikalbaha_230kVtoAnowara_230kV_Line1,Sikalbaha_230kV,Anowara_230kV,17.5,0.044155,0.133679,1.3746e-05,230
Sikalbaha_230kVtoAnowara_230kV_Line2,Sikalbaha_230kV,Anowara_230kV,17.5,0.044155,0.133679,1.3746e-05,230
Shyampur_230kVtoHasnabad_230kV_Line1,Shyampur_230kV,Hasnabad_230kV,0.0,0.044155,0.133679,1.3746e-05,230
Shyampur_230kVtoHasnabad_230kV_Line2,Shyampur_230kV,Hasnabad_230kV,0.0,0.044155,0.133679,1.3746e-05,230
Shyampur_230kVtoHasnabad_230kV_Line3,Shyampur_230kV,Hasnabad_230kV,0.0,0.044155,0.133679,1.3746e-05,230
Shyampur_230kVtoHasnabad_230kV_Line4,Shyampur_230kV,Hasnabad_230kV,0.0,0.044155,0.133679,1.3746e-05,230
Patuakhali_230kVtoPayra_230kV_Line1,Patuakhali_230kV,Payra_230kV,46.5,0.035324,0.133679,1.3746e-05,230
Patuakhali_230kVtoPayra_230kV_Line2,Patuakhali_230kV,Payra_230kV,46.5,0.035324,0.133679,1.3746e-05,230
Ishwardi_230kVtoRajshahi_132kV_Line1,Ishwardi_230kV,Rajshahi_132kV,79.0,0.044155,0.133679,1.3746e-05,230
Ishwardi_230kVtoRajshahi_132kV_Line2,Ishwardi_230kV,Rajshahi_132kV,79.0,0.044155,0.133679,1.3746e-05,230
