place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
Rahanpur,town,132|400,Rahanpur_132kV|Rahanpur_400kV,24.630249,88.4010871,Amnura,way/354584213,substation,57.1,medium,provisional,osm,constrained re-match (3 discs)
Rajbari,town,132,Rajbari_132kV,23.7549188,89.6207356,Rajbari,way/1382525579,substation,100.0,high,reopened,osm,
Rajendrapur,town,132,Rajendrapur_132kV,24.1034682,90.4923886,Rajendrapur,way/1043456883,substation,100.0,high,accepted,osm,
Rajshahi,plant,132,Rajshahi_132kV,24.4119447,88.5722286,Rajshahi(N),way/957137779,substation,95.6,high,reopened,osm,constrained re-match (2 discs)
RajshahiNorth,town,132|230,RajshahiNorth_132kV|RajshahiNorth_230kV,24.4119447,88.5722286,Rajshahi(N),way/957137779,substation,86.7,high,accepted,osm,constrained re-match (2 discs)
Ramganj,town,132,Ramganj_132kV,23.1190901,90.8621001,Ramganj,way/1043456900,substation,100.0,high,accepted,osm,
Rampal,plant,230|400,Rampal_230kV|Rampal_400kV,22.5925643,89.5575336,রামপাল তাপ বিদ্যুৎ কেন্দ্র,way/354100539,plant,84.0,high,accepted,osm,constrained re-match (1 discs)
Rampur,town,132,Rampur_132kV,22.3356952,91.7903098,Rampur,way/1043456905,substation,100.0,high,accepted,osm,
Rampura,town,132|230,Rampura_132kV|Rampura_230kV,23.7675615,90.4324156,রামপুরা ২৩০ কেভি গ্রিড সাব স্টেশন,way/148002191,substation,100.0,high,accepted,osm,constrained re-match (2 discs)
Rangamati,town,132,Rangamati_132kV,22.6806574,92.1217849,Rangamati,way/1043456904,substation,100.0,high,accepted,osm,
Rangpur,plant,132,Rangpur_132kV,25.7288886,89.2517325,Rangpur,way/274341702,substation,100.0,high,accepted,osm,constrained re-match (4 discs)
Raozan,plant,230,Raozan_230kV,22.45664,91.9794125,Raozan,way/211045539,substation,100.0,high,accepted,osm,
Rooppur,town,132,Rooppur_132kV,,,,,,,none,unresolved,osm,
Saidpur,plant,132,Saidpur_132kV,25.8122138,88.8854129,Saidpur Power Plant,way/274341704,plant,100.0,high,accepted,osm,constrained re-match (3 discs)
Sathia,town,132,Sathia_132kV,22.7436805,89.0927097,Satkhira,way/232044291,substation,85.7,medium,reopened,osm,
Satkhira,town,132,Satkhira_132kV,22.7436805,89.0927097,Satkhira,way/232044291,substation,100.0,high,accepted,osm,
Satmasjid,town,132,Satmasjid_132kV,25.2917025,88.0132212,Samsi,way/148521310,substation,71.4,low,unresolved,osm,
Savar,plant,132,Savar_132kV,23.9242754,90.2650553,Savar-1,node/3968959731,substation,100.0,high,accepted,osm,
Shahjadpur,town,132,Shahjadpur_132kV,24.1730929,89.5847397,Shahajadpur,way/210993463,substation,95.2,high,accepted,osm,
Shahjibazar,plant,132|230,Shahjibazar_132kV|Shahjibazar_230kV,24.2533082,91.3795611,Shahjibazar,way/369543973,substation,100.0,high,reopened,osm,constrained re-match (4 discs)
Shahmirpur,town,132,Shahmirpur_132kV,22.2676074,91.8481187,Shahmirpur,way/211045474,substation,100.0,high,accepted,osm,
Shariatpur,town,132,Shariatpur_132kV,23.1792312,90.3430211,Shariatpur,way/1301701543,substation,100.0,high,accepted,osm,
Sherpur,town,132,Sherpur_132kV,25.0487167,90.0831539,Sherpur,way/585464101,substation,100.0,medium,reopened,osm,ambiguous: near-tied candidates far apart
Sherpur(B),town,132,Sherpur(B)_132kV,24.6369801,89.4269581,Sherpur (B),way/1043456932,substation,100.0,high,accepted,osm,constrained re-match (2 discs)
Sholoshahar,town,132,Sholoshahar_132kV,22.3960111,91.8211757,Solashohar Sub Station,way/1429610301,substation,76.2,high,accepted,osm,constrained re-match (1 discs)
Shyampur,town,132|230,Shyampur_132kV|Shyampur_230kV,23.6782063,90.5329568,Haripur Power Limited,way/147998623,plant,66.7,medium,provisional,osm,constrained re-match (2 discs)
Siddhirganj,plant,132|230,Siddhirganj_132kV|Siddhirganj_230kV,23.6849847,90.5177955,Siddhirganj,way/147998706,substation,100.0,high,accepted,osm,
SiddhirganjDeshEnergyPP,plant,132,SiddhirganjDeshEnergyPP_132kV,23.6849847,90.5177955,Siddhirganj,way/147998706,substation,85.9,high,accepted,osm,constrained re-match (1 discs)
SiddhirganjDutchBanglaPP,plant,132,SiddhirganjDutchBanglaPP_132kV,23.6695775,90.5251873,Dutch Bangla Siddhirganj Power Plant,way/928996332,plant,100.0,high,accepted,osm,
Sikalbaha,plant,132|230,Sikalbaha_132kV|Sikalbaha_230kV,22.3296754,91.8728953,Anlima Energy Chattogram power plant,way/862825576,plant,100.0,high,accepted,osm,
Sirajganj,plant,132,Sirajganj_132kV,24.4476625,89.6699273,Sirajganj,way/210993438,substation,100.0,high,accepted,osm,
Sirajganj68MWSolar,plant,132,Sirajganj68MWSolar_132kV,24.4027259,89.7370875,Sirajganj 68 MW Solar Park,way/1351775245,plant,94.3,high,accepted,osm,
SirajganjSouthWest,plant,230,SirajganjSouthWest_230kV,24.4476625,89.6699273,Sirajganj,way/210993438,substation,100.0,high,reopened,osm,constrained re-match (2 discs)
Sitalakhya,plant,132,Sitalakhya_132kV,23.6014022,90.4944893,"Shitalakkha Substation, DPDC",way/1042509091,substation,85.7,high,accepted,osm,constrained re-match (1 discs)
Sonagazi,plant,230,Sonagazi_230kV,23.6413848,90.5905103,Sonargaon,way/210993454,substation,70.6,low,unresolved,osm,
Sonargaon,plant,132,Sonargaon_132kV,23.6413848,90.5905103,Sonargaon,way/210993454,substation,100.0,high,accepted,osm,
Srimangal,plant,132,Srimangal_132kV,24.3079233,91.7030131,Srimangal,way/369543975,substation,100.0,high,accepted,osm,
Srinagar,town,132,Srinagar_132kV,23.7217885,90.4356511,Maniknagar 230,way/222334017,substation,66.7,medium,provisional,osm,constrained re-match (1 discs)
Sripur,town,132|230,Sripur_132kV|Sripur_230kV,24.2219637,90.3903969,Sripur,way/1382322214,substation,100.0,high,reopened,osm,constrained re-match (3 discs)
Sunamganj,town,132,Sunamganj_132kV,25.0328374,91.3882878,Sunamganj,way/1043456884,substation,100.0,high,accepted,osm,
SuryamaninagarRecvBus,cross_border,132,SuryamaninagarRecvBus_132kV,,,,,,,none,unresolved,osm,
Sylhet,plant,132,Sylhet_132kV,24.9096416,91.8298501,Sylhet,way/369543982,substation,100.0,high,accepted,osm,
SylhetSouth,town,132,SylhetSouth_132kV,24.9096416,91.8298501,Sylhet,way/369543982,substation,86.7,high,reopened,osm,constrained re-match (2 discs)
TKCCL,industrial,132,TKCCL_132kV,22.3840233,91.8911046,TKC,way/211045478,substation,75.0,high,accepted,osm,constrained re-match (1 discs)
Tangail,plant,132,Tangail_132kV,24.2777226,89.9213821,Tangail,way/369543985,substation,100.0,high,accepted,osm,
Taraganj,town,132,Taraganj_132kV,25.6363601,88.1246058,Raiganj,way/148521309,substation,80.0,medium,reopened,osm,ambiguous: near-tied candidates far apart
TeestaSolar,plant,132,TeestaSolar_132kV,25.6270403,89.5394993,200MW Teesta Solar Ltd,way/1180394334,plant,100.0,high,accepted,osm,
Thakurgaon,plant,132,Thakurgaon_132kV,26.0383682,88.4254305,Thakurgaon,way/354100540,substation,100.0,high,accepted,osm,
Tongi,plant,132|230,Tongi_132kV|Tongi_230kV,23.8974932,90.413387,Tongi Power Plant,way/147998586,plant,100.0,high,reopened,osm,constrained re-match (4 discs)
Tongi-3(Mill Gate),town,132,Tongi-3(Mill Gate)_132kV,23.8974932,90.413387,Tongi Power Plant,way/147998586,plant,80.0,medium,provisional,osm,
USDKWindFarm,plant,132,USDKWindFarm_132kV,21.5085262,92.0047317,Cox's Bazar 60 MW Wind Power Plant,node/12190213959,generator,100.0,high,accepted,osm,
Ullapara,town,132,Ullapara_132kV,24.2879737,89.575293,Ullapara,way/1382266267,substation,100.0,high,accepted,osm,
Ullon,town,132,Ullon_132kV,23.762776,90.4149299,Ullon 132,way/316539660,substation,100.0,high,accepted,osm,
UnitedPP,plant,132,UnitedPP_132kV,24.9003972,89.9898942,Mymensingh and Jamalpur United Power Plant,way/950005959,plant,100.0,high,reopened,osm,constrained re-match (1 discs)
Uttara,town,132,Uttara_132kV,22.3435675,88.5134742,Uttarbhag 33,way/1414133249,substation,80.0,medium,reopened,osm,
Uttara 3P,town,132,Uttara 3P_132kV,22.3435675,88.5134742,Uttarbhag 33,way/1414133249,substation,70.6,low,unresolved,osm,
Uttara3P,town,132,Uttara3P_132kV,22.3435675,88.5134742,Uttarbhag 33,way/1414133249,substation,70.6,low,unresolved,osm,
Zigatola,town,132,Zigatola_132kV,,,,,,,none,unresolved,osm,
