place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
BheramaraHVDC2,cross_border,400,BheramaraHVDC2_400kV,24.0677224,89.0010927,বাংলাদেশ-ভারত বিদ্যুৎ সঞ্চালন কেন্দ্র,way/305864384,substation,100.0,high,accepted,osm,
Bhulta,town,132|230|400,Bhulta_132kV|Bhulta_230kV|Bhulta_400kV,23.7635835,90.5726811,Bhulta 400,way/585464109,substation,100.0,high,reopened,osm,constrained re-match (5 discs)
Bibiyana,plant,230|400,Bibiyana_230kV|Bibiyana_400kV,24.6355531,91.6578085,Bibiyana,way/507043939,substation,100.0,high,accepted,osm,
Bogura,town,132|400,Bogura_132kV|Bogura_400kV,24.8407953,89.3504103,Bogura 132,way/166377818,substation,100.0,high,reopened,osm,constrained re-match (4 discs)
BoguraSouth,plant,132|230,BoguraSouth_132kV|BoguraSouth_230kV,24.8290011,89.3509581,Bogra South,way/166377816,substation,100.0,high,accepted,osm,
BoguraWest,town,230|400,BoguraWest_230kV|BoguraWest_400kV,24.8407953,89.3504103,Bogura 132,way/166377818,substation,88.2,high,accepted,osm,
Borhanuddin,plant,230,Borhanuddin_230kV,22.4787216,90.7106785,Bhola BPDB Power Plant,way/369546489,plant,100.0,high,accepted,osm,constrained re-match (1 discs)
Brahmanbaria,town,132,Brahmanbaria_132kV,23.9591378,91.1070984,B Baria,way/316539665,substation,100.0,high,accepted,osm,
Cantonment,town,132,Cantonment_132kV,,,,,,,none,unresolved,osm,
Chandina,town,132,Chandina_132kV,23.488923,90.9939389,Chandina-1,way/425841223,substation,100.0,high,accepted,osm,
Chandpur,plant,132,Chandpur_132kV,23.2206231,90.6676932,Chandpur,way/369548435,substation,100.0,high,accepted,osm,
Chandraghona,town,132,Chandraghona_132kV,22.4818946,92.1223854,Chandraghona,way/211045453,substation,100.0,high,accepted,osm,
Chapainawabganj,town,132,Chapainawabganj_132kV,24.5797143,88.2898833,Chapainawabganj 132,way/354584218,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
CharSaidpur,town,132,CharSaidpur_132kV,25.8122138,88.8854129,Saidpur Power Plant,way/274341704,plant,89.5,high,reopened,osm,
Chauddagram,town,132,Chauddagram_132kV,23.229393,91.2909213,Chouddagram,way/1043456897,substation,90.9,high,accepted,osm,
Chhatak,town,132,Chhatak_132kV,25.0313538,91.6642006,Chhatak,way/354114036,substation,100.0,high,accepted,osm,
Chowdala,town,132,Chowdala_132kV,22.7116225,88.145088,Chanditala New,way/475959658,substation,66.7,low,unresolved,osm,
Chowmuhani,plant,132|230,Chowmuhani_132kV|Chowmuhani_230kV,22.9465654,91.103147,চৌমুহনী,way/211045454,substation,100.0,high,accepted,osm,
Chuadanga,town,132,Chuadanga_132kV,23.6221334,88.8575323,Chuadanga,way/274387982,substation,100.0,high,accepted,osm,
ConfidencePP,plant,132,ConfidencePP_132kV,25.6584847,89.27127,Confidence Power Rangpur,way/976797642,plant,100.0,high,accepted,osm,
Cox'sBazar,plant,132,Cox'sBazar_132kV,21.4210335,91.9909587,Cox's Bazar Substation,node/3872416761,substation,100.0,high,accepted,osm,
CumillaNorth,plant,132|230,CumillaNorth_132kV|CumillaNorth_230kV,23.5087565,91.1018294,Comilla North,way/316539667,substation,100.0,high,reopened,osm,constrained re-match (7 discs)
CumillaSouth,plant,132,CumillaSouth_132kV,23.4287924,91.1696911,Comilla South,way/211045545,substation,100.0,high,accepted,osm,
Daganbhuiyan,town,132,Daganbhuiyan_132kV,,,,,,,none,unresolved,osm,
Daudkandi,town,132,Daudkandi_132kV,23.5461381,90.7771994,Daudkandi PP,way/369680737,substation,100.0,high,accepted,osm,
DaudkandiPP,plant,132,DaudkandiPP_132kV,23.5461381,90.7771994,Daudkandi PP,way/369680737,substation,100.0,high,accepted,osm,
DeshPP,plant,132,DeshPP_132kV,23.2245637,90.6731139,দেশ এনার্জি চাঁদপুর বিদ্যুৎ কেন্দ্র,way/965457643,plant,100.0,high,accepted,osm,
DhakaUniversity,town,132,DhakaUniversity_132kV,23.7799032,90.417605,"DESCO Sales & Distribution Division, Gulshan",way/369339774,substation,79.0,high,accepted,osm,constrained re-match (1 discs)
Dhamrai,town,132,Dhamrai_132kV,23.9123418,90.1305525,Dhamrai,way/550515095,substation,100.0,high,reopened,osm,
Dhanmondi,town,132,Dhanmondi_132kV,,,,,,,none,unresolved,osm,
Dohazari,plant,132,Dohazari_132kV,22.1530614,92.0715342,Dohazari,way/210993421,substation,100.0,high,accepted,osm,
DynamicSunSolarPP,plant,132,DynamicSunSolarPP_132kV,24.0242682,89.2343121,Pabna,way/148142829,substation,85.0,high,accepted,osm,constrained re-match (1 discs)
Energon,town,132,Energon_132kV,,,,,,,none,unresolved,osm,
Faridpur,plant,132|230,Faridpur_132kV|Faridpur_230kV,23.591025,89.800032,Faridpur,way/274418294,substation,100.0,high,reopened,osm,constrained re-match (2 discs)
FaridpurPP,plant,132,FaridpurPP_132kV,23.591025,89.800032,Faridpur,way/274418294,substation,100.0,high,accepted,osm,
Fatullah,town,132,Fatullah_132kV,23.6337252,90.4765503,ফতুল্লা বৈদ্যুতিক উপকেন্দ্র,way/1422101066,substation,93.3,high,reopened,osm,constrained re-match (1 discs)
Fenchuganj,plant,132|230,Fenchuganj_132kV|Fenchuganj_230kV,24.6588821,91.9331538,Fenchuganj,way/369543965,substation,100.0,high,reopened,osm,constrained re-match (4 discs)
FenchuganjPS,town,132,FenchuganjPS_132kV,24.6866105,91.9197986,Fenchuganj P,way/369543961,substation,96.0,high,accepted,osm,
Feni,plant,132,Feni_132kV,23.0114574,91.3845468,ফেনী,way/211045458,substation,100.0,high,accepted,osm,
FeniNorth,town,132|230,FeniNorth_132kV|FeniNorth_230kV,23.0114574,91.3845468,ফেনী,way/211045458,substation,82.9,high,accepted,osm,constrained re-match (3 discs)
GPH,industrial,230,GPH_230kV,22.5379099,91.7034373,GPH,way/1382553143,substation,100.0,high,accepted,osm,
