400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
29,LILO of Comilla(N)-Hathazari line at BSRM,,,,0,,,1,,,Double,,,Finch,1113 MCM
30,LILO of Comilla(N)-Hathazari line at AKSPL,,,,6.50,,,13.00,,,Double,,,Finch,1113 MCM
31,LILO of Aminbazar-Tongi line at Kaliakoir,,,,32,,,128,,,Four,,,Twin AAAC,
32,Bheramara HVDC-Bheramara 230,,,,3.00,,,12.00,,,Double,,,Twin AAAC,
33,LILO of Ghorashal-Rampura at Bhulta,,,,2,,,4,,,Double,,,Twin Mallard,2x795 MCM
34,LILO of Haripur-Rampura at Bhulta,,,,3,,,10,,,Four,,,Twin Mallard,2x795 MCM
35,Haripur-Siddhirganj,,,,2,,,3.30,,,Double,,,Twin Mallard,2x795 MCM
36,Bheramara HVDC- Ishwardi,,,,12.80,,,25.60,,,Double,,,Quad Mallard,4x795 MCM
37,LILO of Tongi-Kaliakoir at Kodda PP,,,,1,,,2,,,Double,,,Twin Mallard,2x795 MCM
38,LILO of Hasnabad-Aminbazar at Keraniganj,,,,0,,,2,,,Four,,,Twin Mallard,2x795 MCM
39,Sikalbaha-Anowara,,,,17,,,35,,,Double,,,Twin Mallard,2x795 MCM
40,LILO of Hasnabad-Meghnaghat at Shyampur,,,,0,,,0,,,Four,,,Twin Mallard,2x795 MCM
41,Patuakhali-Payra,,,,46.50,,,93.00,,,Double,,,Twin ACCC Mallard,2x795 MCM
42,Ishurdi-Rajshahi,,,,79,,,158,,,Double,,,Twin Mallard,2x795 MCM
43,LILO of Bheramara-Khulna (S) at Jhenaidah,,,,2,,,8,,,Four,,,Twin Mallard,2x795 MCM
44,Sikalbaha-Hathazari,,,,28,,,56.70,,,Double,,,Quad Mallard,4x795 MCM
45,Mongla- Khulna(S),,,,24,,,48,,,Double,,,Twin Mallard,2x795 MCM
46,Barishal(N)-Gopalganj,,,,75,,,150,,,Double,,,Twin ACCC Mallard,2x795 MCM
,,,,,,,,,,,,,,,
47,Gopalganj-Faridpur,,,,49,,,98,,,Double,,,Twin ACCC Mallard,2x795 MCM
48,LILO of Sikalbaha-Hathazari at Madunaghat(N),,,,6,,,23.40,,,Double,,,Quad Mallard,4x795 MCM
49,Rooppur-Baghabari,,,,65,,,131,,,Double,,,Twin ACCC Mallard,2x795 MCM
50,Khula 330MW-Khula(S),,,,14.00,,,14.00,,,Single,,,,
51,LILO of Bogura-Barapukuria at Bogura(West),,,,11,,,44,,,Double,,,Twin Mallard,2x795 MCM
52,LILO of Ashuganj-Sirajganj at Sreepur,,,,1.40,,,5.60,,,Four,,,Twin Mallard,2x795 MCM
53,Madunaght(O)-Madunaghat 400kV,,,,7,,,14,,,Double,,,Twin Mallard,2x795 MCM
54,Sonagazi (EGCB)- Mirsarai,,,,13.30,,,13.30,,,Single,,,Twin Mallard,2x795 MCM
55,Bogura(S)-Noagaon (Partial),,,,12,,,23,,,Double,,,Twin Mallard,2x795 MCM
56,LILO of Bogura(S)-Noagaon,,,,1,,,6,,,Four,,,Twin Mallard,2x795 MCM
57,Korerhat-Chowmuhani,,,,54.00,,,216,,,Four,,,Twin Mallard,2x795 MCM
58,Chowmuhani-Kachua,,,,51,,,202,,,Four,,,Twin Mallard,2x795 MCM
59,Chowmuhani-Maijdee,,,,20,,,41,,,Double,,,Twin Mallard,2x795 MCM
60,Barapukuria-Purbasadipur,,,,38.70,,,77.40,,,Double,,,Twin Mallard,2x795 MCM
61,Kachua-Gazaria,,,,49,,,196,,,Four,,,Twin Mallard,2x795 MCM
