400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
176,Madaripur-Shariatpur,22.0,44,Double,,Grosbeak,,,636 MCM,,,,,,
177,LILO of Shyampur-Haripur at Shyampur,0,1,Four,,Grosbeak,,,636 MCM,,,,,,
178,Rangpur-Kurigram,41,41,Single,,Grosbeak,,,636 MCM,,,,,,
179,Magura-Narail,39,79,Double,,Grosbeak,,,636 MCM,,,,,,
180,LILO of Bogura-Sirajganj at Sherpur (Bogura),1,3,Four,,Grosbeak,,,636 MCM,,,,,,
181,"LILO of Rajshahi-Chapai-Nawabganj-Amnura at
Rajshahi)N)",0,2,Four,,Grosbeak,,,636 MCM,,,,,,
182,Rampura-Aftabnagar,4,7,Double,,XLPE,,,800sq,,,,,,
183,LILO of Feni-Cumilla(N) at Chowddagram,1,3,Four,,Grosbeak,,,636 MCM,,,,,,
184,LILO of Faridpur-Madaripur line at Gopalganj(N),2,6,Four,,ACCC Grosbeak,,,636 MCM,,,,,,
185,LILO of Gopalanj-Madaripur line at Gopalganj(N),11,42,Four,,Grosbeak,,,636 MCM,,,,,,
186,Kodda - Rajendrapur,25,49,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
187,LILO of Rangpur-Palashbari at Confidence PP,1,6,Four,,AAAC,,,636 MCM,,,,,,
188,LILO of Khulshi - Halishahar at Rampur,3,6,Four,,XLPE,,,800sq,,,,,,
189,Rampur-Agrabad,5,9,Double,,XLPE,,,800sq,,,,,,
190,Keraniganj-Sreenagar,16,32,Double,,Grosbeak,,,636 MCM,,,,,,
191,Keraniganj-Nawabganj,27,54,Double,,Grosbeak,,,636 MCM,,,,,,
192,LILO of Shyampur-Haripur at Fatullah,1,4,Double,,XLPE,,,800sq,,,,,,
193,DU- Dhanmondi,2,4,Double,,XLPE,,,500sq,,,,,,
194,Bagerhat-Mongla,29,57,Double,,Grosbeak,,,636 MCM,,,,,,
195,Baghabari-Bangura,25,50,Double,,Grosbeak,,,636 MCM,,,,,,
196,Bakerganj-Barguna,50,50,Single,,Grosbeak,,,636 MCM,,,,,,
197,Gallamari- Gopalganj,52,104,Double,,Grosbeak,,,636 MCM,,,,,,
198,Gopalganj - Madaripur 2nd Ckt,45,45,Single,,Grosbeak,,,636 MCM,,,,,,
199,LILI of Rangpur-Palashbari line at Mithapukur,1,2,Four,,Grosbeak,,,636 MCM,,,,,,
200,Maniknagar-Kazla,3,5,Double,,XLPE,,,800sq,,,,,,
201,"Hasnabad-Keraniganj PP line re-routing at
Keraniganj",3,11,Four,,Grosbeak,,,636 MCM,,,,,,
202,Purbachal-Basundhara,5,9,Double,,XLPE,,,800sq,,,,,,
203,Banani-Basundhara,13,27,Double,,XLPE,,,800sq,,,,,,
204,LILO of Bhermara-Fardipur at Rajbari,1,5,Four,,Grosbeak,,,636 MCM,,,,,,
205,S/c LILO of Jhenaidah- Chuadanga at Jhenaidah,3,6,Double,,Grosbeak,,,636 MCM,,,,,,
206,Keraniganj-Lalbagh& Kamrangirchar four circuit,3,12,Four,,Grosbeak,,,636 MCM,,,,,,
207,Tongi-Tongi-3 (Mill Gate),3,5,Double,,XLPE,,,800sq,,,,,,
208,LILO of Jessore-Jhenaidah d/c line at Jhenaidah,0,1,Four,,Grosbeak,,,636 MCM,,,,,,
209,Manaknagar-Motijheel,2,4,Double,,XLPE,,,800sq,,,,,,
210,Motijheel-Bangabhaban,1,1,Double,,XLPE,,,800sq,,,,,,
211,Madanganj-Char Saidpur,3,6,Double,,Mallard+XLPE,,,800sq,,,,,,
212,Kamrangirchar-Zigatola,7,14,Double,,XLPE,,,800sq,,,,,,
213,Energaon-Mongla,9,9,Single,,Grosbeak,,,636 MCM,,,,,,
214,Hasnabad-Postogola,2,4,Double,,XLPE,,,800sq,,,,,,
215,Bashundhara-Purbachal,6,11,Double,,XLPE,,,800sq,,,,,,
216,Chapai Nawabganj-Rahanpur,26,52,Single,,ACCC Grosbeak,,,636 MCM,,,,,,
217,LILO of Madunaghat-Khulshi at Sholoshahar,0,0,Single,,XLPE,,,800sq,,,,,,
218,Madunaghat-Kalurghat,7,14,Double,,XLPE,,,800sq,,,,,,
219,Khulshi-Halishahar LILO at Rampur,3,5,Single,,XLPE,,,800sq,,,,,,
220,Sudarganj Solar - Rangpur,36,71,Double,,Grosbeak,,,636 MCM,,,,,,
221,Rampura-Dhaka University,7,15,Double,,XLPE,,,800sq,,,,,,
222,"Aminbazar 400/132kV transformer connecting
132kV line",1,0,Single,,,,,,,,,,,
223,Sripur-Bhaluka,22,45,Double,,Grosbeak,,,636 MCM,,,,,,
224,LILO of Kaliakoir-Tangail at Mirzapur,2,7,Four,,ACCC Grosbeak,,,636 MCM,,,,,,
225,LILO of Sylhet-Fenchuganj at Sylhet(S),2,8,Four,,ACCC Grosbeak,,,636 MCM,,,,,,
226,LILO of Sirajganj-Shahjadpur-Baghabari at Ullapara,3,11,Four,,Grosbeak,,,636 MCM,,,,,,
227,"LILO of Madunaghat-Khulshi (Circuit-2) at
Sholoshahor substation",1,2,Double,,XLPE,,,800sq,,,,,,
228,LILO of Niamatpur-Chowdala at Rahanpur,2,8,Four,,Grosbeak,,,636 MCM,,,,,,
,,,,,,,,,,,,,,,
132 kV Transmission Line,,,,,,,,,,,,,,,
229,Bhaluka- Barmi (BR Powergen),32,65,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
230,LILO of Tangail-RPCL at Ghatail,1,3,Double,,Grosbeak,,,636 MCM,,,,,,
231,Niyamatpur-Rahanpur (LILO point),28,56,Double,,Grosbeak,,,636 MCM,,,,,,
232,Naogaon-Joypurhat,47.0,47.0,Single,,Grosbeak,,,636 MCM,,,,,,
233,Panchagarh-Thakurgaon,45.0,45.0,Single,,Grosbeak,,,636 MCM,,,,,,
234,US DK - Cox's Bazar,11,11,Single,,Grosbeak,,,636 MCM,,,,,,
235,Barishal (N)-Bhandaria,47,93,Double,,Grosbeak,,,636 MCM,,,,,,
236,LILO of Ghorashal-Joydevpur at Pubail,3,13,Four,,Grosbeak,,,636 MCM,,,,,,
237,Sirangj 68MW Solar-Sirajganj,10,20,Double,,Grosbeak,,,636 MCM,,,,,,
238,LILO of Cumilla(N)-Daudkandi at Muradnagar,2,7,Four,,Grosbeak,,,636 MCM,,,,,,
239,LILO of Ashuganj-Kishoreganj at Bajitpur,0,1,Four,,ACCC Grosbeak,,,636 MCM,,,,,,
240,Rahanpur-Chowdala(Section onward),7,14,Double,,Grosbeak,,,636 MCM,,,,,,
241,LILO of Ghatial-RPCL at Muktagacha,1,3,Four,,Grosbeak,,,636 MCM,,,,,,
242,Muradnagar-Kosba,24,48,Double,,Grosbeak,,,636 MCM,,,,,,
243,Jhenaidah-Chuadanga,39,39,Single,,Grosbeak,,,636 MCM,,,,,,
244,Kurigram-Lalmonirht 2nd circuit,31,31,Single,,Grosbeak,,,636 MCM,,,,,,
245,LILO of Hairpur-Narsinghdi at Bhulta (N),0,1,Four,,Grosbeak,,,636 MCM,,,,,,
246,LILO of Sikalbaha-Dohazari at Patiya,0,2,Four,,ACCC Grosbeak,,,636 MCM,,,,,,
247,LILO of Halishahar-Khulsi at Anandabazar,0,1,Four,,Grosbeak,,,636 MCM,,,,,,
248,Cumilla(N)-Chandina,16,32,Double,,Grosbeak,,,636 MCM,,,,,,
249,Rajendrapur-Sreepur,20,41,Double,,Grosbeak,,,636 MCM,,,,,,
250,Araihazar-Bhulta,8,16,Double,,Grosbeak,,,636 MCM,,,,,,
251,Dynamics Solar Plant-Ishurdi,22,44,Double,,Grosbeak,,,636 MCM,,,,,,
252,Kachua-Laksam,32,64,Double,,Grosbeak,,,636 MCM,,,,,,
253,Chowmuhani-Lakshmipur,27,54,Double,,Grosbeak,,,636 MCM,,,,,,
254,LILO of Saidpur-Rangpur at Taraganj,0,1,Four,,Grosbeak,,,636 MCM,,,,,,
255,LILO of Feni-Chowmuhani at Dagunbhuyan,3,11,Four,,Grosbeak,,,636 MCM,,,,,,
256,Rampura-Basundhara,12,23,Double,,Grosbeak,,,636 MCM,,,,,,
257,Sripur-Kodda (Partial),9,18,Double,,Grosbeak,,,636 MCM,,,,,,
258,Sirajganj Solar-Sirajganj Grid,10,20,Double,,Grosbeak,,,636 MCM,,,,,,
259,LILO of Ishwardi-Baghabari line at Sathia,1,1,Double,,Grosbeak,,,636 MCM,,,,,,
260,Kaliganj- Maheshpur,26,52,Double,,Grosbeak,,,636 MCM,,,,,,
261,LILO of Feni Chauddagram at Feni 230/132 kV,4,16,Four,,Grosbeak,,,636 MCM,,,,,,
262,LILO of Barishal-Patuakhali at Bakerganj,3,5,Double,,Grosbeak,,,636 MCM,,,,,,
263,Sathia-Pabna 64 MW Solar,35,69,Double,,Grosbeak,,,636 MCM,,,,,,
,LILO of Feni Chowmuhani at Feni 230/132 kV,,,,,,,,,,,,,,
,Total,5525,9509,,,,,,,,,,,,
