start_node,end_node,voltage_level,approx_length_km,status,line_name
Korerhat,Meghnaghat,400 kV,0.0,Existing,Korerhat_400kVtoMeghnaghat_400kV_Line1
Korerhat,Meghnaghat,400 kV,0.0,Existing,Korerhat_400kVtoMeghnaghat_400kV_Line2
Korerhat,Meghnaghat,400 kV,0.0,Existing,Korerhat_400kVtoMeghnaghat_400kV_Line3
Korerhat,Meghnaghat,400 kV,0.0,Existing,Korerhat_400kVtoMeghnaghat_400kV_Line4
Ghorasal,Ishurdi,230 kV,175.0,Existing,Ghorasal_230kVtoIshurdi_230kV_Line1
Ghorasal,Ishurdi,230 kV,175.0,Existing,Ghorasal_230kVtoIshurdi_230kV_Line2
Tongi,Ghorasal,230 kV,27.0,Existing,Tongi_230kVtoGhorasal_230kV_Line1
Tongi,Ghorasal,230 kV,27.0,Existing,Tongi_230kVtoGhorasal_230kV_Line2
Ghorasal,Ashuganj,230 kV,44.0,Existing,Ghorasal_230kVtoAshuganj_230kV_Line1
Ghorasal,Ashuganj,230 kV,44.0,Existing,Ghorasal_230kVtoAshuganj_230kV_Line2
Raojan,Hathazari,230 kV,22.5,Existing,Raojan_230kVtoHathazari_230kV_Line1
Raojan,Hathazari,230 kV,22.5,Existing,Raojan_230kVtoHathazari_230kV_Line2
Ashuganj,Comilla North,230 kV,79.0,Existing,Ashuganj_230kVtoComilla North_230kV_Line1
Ashuganj,Comilla North,230 kV,79.0,Existing,Ashuganj_230kVtoComilla North_230kV_Line2
Ghorasal,Rampura,230 kV,50.0,Existing,Ghorasal_230kVtoRampura_230kV_Line1
Ghorasal,Rampura,230 kV,50.0,Existing,Ghorasal_230kVtoRampura_230kV_Line2
Rampura,Haripur,230 kV,22.0,Existing,Rampura_230kVtoHaripur_230kV_Line1
Rampura,Haripur,230 kV,22.0,Existing,Rampura_230kVtoHaripur_230kV_Line2
Haripur,Meghnaghat,230 kV,12.5,Existing,Haripur_230kVtoMeghnaghat_230kV_Line1
Haripur,Meghnaghat,230 kV,12.5,Existing,Haripur_230kVtoMeghnaghat_230kV_Line2
Meghnaghat,Hasnabad,230 kV,24.5,Existing,Meghnaghat_230kVtoHasnabad_230kV_Line1
Meghnaghat,Hasnabad,230 kV,24.5,Existing,Meghnaghat_230kVtoHasnabad_230kV_Line2
Comilla North,Hathazari,230 kV,151.0,Existing,Comilla North_230kVtoHathazari_230kV_Line1
Comilla North,Hathazari,230 kV,151.0,Existing,Comilla North_230kVtoHathazari_230kV_Line2
"AES, Haripur",Haripur,230 kV,2.4,Existing,"AES, Haripur_230kVtoHaripur_230kV_Line1"
"AES, Haripur",Haripur,230 kV,2.4,Existing,"AES, Haripur_230kVtoHaripur_230kV_Line2"
Comilla North,Meghnaghat,230 kV,58.0,Existing,Comilla North_230kVtoMeghnaghat_230kV_Line1
Comilla North,Meghnaghat,230 kV,58.0,Existing,Comilla North_230kVtoMeghnaghat_230kV_Line2
Tongi,Aminbazar,230 kV,25.2,Existing,Tongi_230kVtoAminbazar_230kV_Line1
Tongi,Aminbazar,230 kV,25.2,Existing,Tongi_230kVtoAminbazar_230kV_Line2
Aminbazar,Hasnabad,230 kV,21.5,Existing,Aminbazar_230kVtoHasnabad_230kV_Line1
Aminbazar,Hasnabad,230 kV,21.5,Existing,Aminbazar_230kVtoHasnabad_230kV_Line2
