line_id,vertex_idx,lon,lat
0,0,90.18624118131233,23.710343095138363
0,1,90.18624118131233,23.70991068550912
0,2,90.1861071228557,23.709787139900765
0,3,90.18577197671415,23.710034231117476
0,4,90.18516871365935,23.7099724583133
0,5,90.18490059674612,23.709725367096585
0,6,90.18429733369132,23.709725367096585
0,7,90.184230304463,23.71120791439685
0,8,90.18818502893335,23.71126968720103
0,9,90.18825205816165,23.70855168381721
0,10,90.18811799970503,23.708428138208856
0,11,90.18429733369132,23.708428138208856
0,12,90.1841632752347,23.709663594292408
0,13,90.18322486603834,23.70960182148823
0,14,90.18288971989679,23.709416503075698
0,15,90.18288971989679,23.70910763905481
0,16,90.18262160298355,23.708675229425566
0,17,90.18262160298355,23.708181046992145
0,18,90.18282269066847,23.707933955775434
0,19,90.18275566144017,23.7071926821253
0,20,90.18248754452692,23.706513181279345
0,21,90.18248754452692,23.70503063397908
0,22,90.18208536915706,23.703918723503882
0,23,90.18094587227577,23.702312630595262
0,24,90.1804766676776,23.702003766574375
0,25,90.18014152153604,23.70058299207829
0,26,90.17886796619814,23.69835917112789
0,27,90.17806361545841,23.697432579065225
0,28,90.17772846931686,23.69650598700256
0,29,90.17679006012051,23.695517622135714
0,30,90.1767230308922,23.69514698531065
0,31,90.17618679706571,23.69489989409394
0,32,90.17323751102003,23.692243663514297
0,33,90.17270127719355,23.69193479949341
0,34,90.170422283431,23.689710978543012
0,35,90.17089148802917,23.687178293571726
0,36,90.17082445880085,23.686189928704884
0,37,90.1711596049424,23.68600461029235
1,0,90.18697850282375,23.709231184663164
1,1,90.18624118131233,23.709478275879874
1,2,90.1860400936274,23.709787139900765
2,0,90.18530277211597,23.709169411858987
2,1,90.18577197671415,23.709292957467344
2,2,90.1861071228557,23.70960182148823
2,3,90.18583900594247,23.70935473027152
3,0,90.06103058282783,23.684583835796264
3,1,90.06056137822965,23.684460290187907
3,2,90.06056137822965,23.68168051399991
3,3,90.06324254736208,23.681618741195734
3,4,90.06344363504701,23.681495195587377
3,5,90.06391283964518,23.681495195587377
3,6,90.06458313192829,23.681804059608268
3,7,90.06458313192829,23.684460290187907
3,8,90.06444907347166,23.684583835796264
4,0,90.14877184268661,23.678900737811915
4,1,90.14890590114324,23.678406555378494
4,2,90.14910698882817,23.678283009770137
4,3,90.15091677799255,23.678777192203558
4,4,90.15145301181904,23.67908605622445
4,5,90.15279359638525,23.679271374636983
4,6,90.15312874252682,23.679642011462047
4,7,90.15507259014782,23.679950875482938
4,8,90.15634614548573,23.680815694741423
4,9,90.15701643776883,23.681495195587377
4,10,90.15701643776883,23.681865832412445
4,11,90.15721752545377,23.68205115082498
4,12,90.15949651921633,23.68279242447511
4,13,90.16009978227113,23.682854197279287
4,14,90.16023384072776,23.682977742887644
4,15,90.16030086995606,23.683719016537776
4,16,90.16023384072776,23.684522062992087
4,17,90.15996572381451,23.684707381404618
4,18,90.15996572381451,23.685139791033862
4,19,90.16050195764099,23.685695746271463
4,20,90.16083710378255,23.68649879272577
4,21,90.1617755129789,23.686189928704884
4,22,90.16304906831681,23.685325109446396
4,23,90.16412153596977,23.68520156383804
4,24,90.16418856519809,23.685325109446396
4,25,90.16492588670951,23.685386882250572
4,26,90.16532806207937,23.685078018229685
4,27,90.1667356758739,23.685325109446396
4,28,90.16787517275517,23.685078018229685
4,29,90.16941684500632,23.685695746271463
4,30,90.17089148802917,23.68600461029235
5,0,90.39664592897982,23.673217639827566
5,1,90.39631078283826,23.672785230198322
5,2,90.394098818304,23.671117364485525
5,3,90.39195388299807,23.669202407556018
5,4,90.39054626920354,23.66771986025575
5,5,90.38974191846381,23.667040359409796
5,6,90.38860242158252,23.66636085856384
5,7,90.38786510007111,23.66636085856384
5,8,90.38719480778799,23.665990221738777
5,9,90.38324008331766,23.66561958491371
5,10,90.38256979103456,23.665434266501176
5,11,90.38169841106652,23.665434266501176
5,12,90.37606795588842,23.664692992851045
6,0,90.29013648519401,23.672476366177435
6,1,90.29187924513009,23.67476195993201
6,2,90.29201330358671,23.675132596757077
6,3,90.29275062509814,23.67575032479885
6,4,90.29328685892462,23.675812097603032
6,5,90.2950296188607,23.675317915169607
6,6,90.2969064372534,23.6745148687153
6,7,90.2981799925913,23.674206004694412
6,8,90.29858216796117,23.673835367869344
6,9,90.29918543101597,23.673835367869344
6,10,90.29952057715752,23.673526503848457
6,11,90.30012384021232,23.673464731044277
6,12,90.30159848323515,23.67019077242286
6,13,90.3031401554863,23.670252545227036
6,14,90.30340827239954,23.670005454010326
6,15,90.30407856468265,23.670376090835394
6,16,90.3044137108242,23.67019077242286
7,0,90.31078148751372,23.672167502156547
7,1,90.31071445828542,23.67154977411477
7,2,90.30608944153198,23.670870273268815
7,3,90.30508400310731,23.670499636443747
8,0,90.28108753937207,23.67179686533148
8,1,90.28162377319855,23.6722910477649
8,2,90.2818918901118,23.6722910477649
8,3,90.28289732853645,23.671858638135657
8,4,90.28303138699307,23.671673319723123
8,5,90.28216000702503,23.669264180360194
8,6,90.28162377319855,23.668769997926773
9,0,90.28960025136753,23.671488001310593
9,1,90.28919807599766,23.671117364485525
9,2,90.28799154988806,23.670808500464638
9,3,90.28712016992003,23.66994368120615
9,4,90.2863828484086,23.669511271576905
9,5,90.28598067303875,23.669017089143484
9,6,90.2857125561255,23.669017089143484
9,7,90.28417088387435,23.667843405864108
9,8,90.28329950390632,23.667596314647398
10,0,90.08113935132106,23.669511271576905
10,1,90.08093826363611,23.66907886194766
10,2,90.08040202980963,23.66907886194766
10,3,90.07765383144888,23.66957304438108
10,4,90.07550889614295,23.66969658998944
10,5,90.0740342531201,23.670252545227036
10,6,90.07349801929362,23.670746727660458
10,7,90.07202337627079,23.671179137289702
10,8,90.06820271025707,23.671117364485525
10,9,90.0671302426041,23.671426228506412
10,10,90.06451610269998,23.67179686533148
10,11,90.06357769350363,23.671673319723123
10,12,90.0633766058187,23.672229274960724
10,13,90.06351066427531,23.674576641519476
10,14,90.06364472273194,23.67500905114872
10,15,90.06397986887349,23.67525614236543
10,16,90.06391283964518,23.676924008078228
10,17,90.06424798578674,23.678344782574317
10,18,90.06391283964518,23.679765557070404
10,19,90.06391283964518,23.681495195587377
10,20,90.06411392733011,23.681618741195734
11,0,90.28028318863232,23.666793268193086
11,1,90.27974695480584,23.666546176976375
11,2,90.27974695480584,23.666299085759665
11,3,90.27941180866429,23.665928448934597
11,4,90.27941180866429,23.665434266501176
11,5,90.27854042869625,23.663889946396736
11,6,90.27753499027159,23.660863078992026
11,7,90.27713281490172,23.65999825973354
11,8,90.27686469798849,23.659812941321007
11,9,90.27673063953186,23.659133440475053
11,10,90.27518896728071,23.657156710741365
11,11,90.27378135348619,23.654685798574256
11,12,90.27378135348619,23.654438707357546
11,13,90.27297700274646,23.653326796882347
11,14,90.2726418566049,23.65252375042804
11,15,90.27170344740856,23.651350067148663
11,16,90.2707650382122,23.649496883023332
11,17,90.26962554133092,23.64894092778573
11,18,90.26506755380579,23.647643698898
11,19,90.26473240766423,23.647273062072934
11,20,90.26412914460944,23.64714951646458
12,0,90.28839372525793,23.66512540248029
12,1,90.28812560834469,23.665681357717887
12,2,90.28799154988806,23.667349223430687
12,3,90.28725422837665,23.668152269884995
12,4,90.28678502377848,23.668214042689172
12,5,90.28611473149536,23.66907886194766
12,6,90.28618176072368,23.669202407556018
13,0,90.37506251746375,23.664631220046868
13,1,90.37191214373314,23.664137037613447
13,2,90.36815850694774,23.663889946396736
13,3,90.3622599348564,23.66321044555078
13,4,90.36192478871484,23.663025127138248
13,5,90.35897550266917,23.662839808725714
13,6,90.35595918739519,23.662345626292293
13,7,90.35515483665546,23.662345626292293
13,8,90.35448454437234,23.662098535075582
13,9,90.35327801826276,23.662036762271402
13,10,90.35207149215316,23.661666125446338
13,11,90.35160228755498,23.661727898250515
13,12,90.35012764453215,23.660615987775316
13,13,90.34939032302073,23.659318758887586
13,14,90.34898814765086,23.657403801958075
13,15,90.34885408919425,23.654253388945016
13,16,90.348585972281,23.6540062977283
13,17,90.34811676768282,23.6540062977283
13,18,90.34510045240884,23.654685798574256
13,19,90.34215116636317,23.65487111698679
13,20,90.33806238343621,23.656353664287057
13,21,90.33752614960973,23.656415437091233
13,22,90.33618556504351,23.65703316513301
13,23,90.33571636044533,23.65703316513301
13,24,90.33524715584716,23.657403801958075
13,25,90.33397360050925,23.657712665978966
13,26,90.33357142513938,23.65808330280403
13,27,90.3330351913129,23.65808330280403
13,28,90.33223084057317,23.65833039402074
13,29,90.3312254021485,23.658824576454162
13,30,90.32747176536311,23.660060032537718
13,31,90.32700256076494,23.660368896558605
13,32,90.32660038539507,23.660368896558605
13,33,90.3261982100252,23.660677760579496
13,34,90.32546088851379,23.66080130618785
13,35,90.32331595320784,23.661666125446338
13,36,90.32083587176034,23.662345626292293
13,37,90.32043369639048,23.662716263117357
13,38,90.3199644917923,23.662716263117357
13,39,90.31962934565075,23.663025127138248
13,40,90.3187579656827,23.66321044555078
13,41,90.31661303037676,23.664075264809266
13,42,90.31540650426717,23.665743130522067
13,43,90.31533947503885,23.666051994542954
13,44,90.314937299669,23.66636085856384
13,45,90.31480324121237,23.666793268193086
13,46,90.3137307735594,23.66796695147246
13,47,90.31145177979684,23.67130268289806
13,48,90.31111663365529,23.671611546918946
13,49,90.31078148751372,23.671673319723123
14,0,90.14756531657702,23.6631486727466
14,1,90.14823560886012,23.6631486727466
14,2,90.14883887191492,23.66339576396331
14,3,90.1499113395679,23.66339576396331
14,4,90.15051460262269,23.663642855180022
14,5,90.150581631851,23.665990221738777
14,6,90.15071569030762,23.66611376734713
14,7,90.15064866107932,23.667534541843217
14,8,90.15031351493776,23.668152269884995
14,9,90.1487048134583,23.669511271576905
14,10,90.14823560886012,23.66969658998944
14,11,90.14769937503364,23.670252545227036
14,12,90.14749828734871,23.671179137289702
14,13,90.14769937503364,23.671982183744014
14,14,90.14790046271857,23.672167502156547
14,15,90.14796749194689,23.672847003002502
14,16,90.14897293037154,23.674020686281878
14,17,90.14917401805647,23.674638414323653
14,18,90.14917401805647,23.67772705453254
14,19,90.14903995959986,23.678283009770137
14,20,90.14924104728479,23.678406555378494
15,0,90.14709611197884,23.662778035921537
15,1,90.14622473201081,23.66240739909647
15,2,90.14575552741263,23.661851443858872
15,3,90.14501820590121,23.661727898250515
15,4,90.14334247519344,23.660430669362782
15,5,90.14200189062723,23.659071667670876
15,6,90.14166674448568,23.659009894866696
15,7,90.14106348143088,23.65857748523745
15,8,90.14113051065918,23.658145075608207
15,9,90.14146565680073,23.65758912037061
15,10,90.14146565680073,23.65721848354554
16,0,90.14957619342634,23.65894812206252
16,1,90.14903995959986,23.65894812206252
16,2,90.14910698882817,23.65783621158732
16,3,90.1493080765131,23.657650893174786
16,4,90.15024648570945,23.657650893174786
16,5,90.15038054416607,23.657897984391496
17,0,90.1517881579606,23.65894812206252
17,1,90.15312874252682,23.65894812206252
17,2,90.15312874252682,23.65839216682492
17,3,90.1517881579606,23.658268621216564
17,4,90.15165409950397,23.658021529999854
18,0,90.15453635632133,23.65839216682492
18,1,90.15312874252682,23.65857748523745
19,0,90.1548715024629,23.658206848412387
19,1,90.15607802857248,23.658268621216564
19,2,90.15641317471403,23.658453939629098
19,3,90.15855811001998,23.658268621216564
19,4,90.15949651921633,23.659133440475053
19,5,90.16030086995606,23.659318758887586
19,6,90.16063601609761,23.658824576454162
19,7,90.16097116223916,23.65863925804163
19,8,90.16150739606566,23.657774438783143
