id,lon,lat
0,90.34027434797046,23.707069136516946
1,90.21995688315265,23.696938396631804
2,90.10875539338508,23.694220393247985
3,90.06290740122053,23.683163061300178
4,90.28108753937207,23.67068495485628
5,90.2800821009474,23.670561409247927
6,90.2813556562853,23.667843405864108
7,90.28209297779672,23.667596314647398
8,90.28115456860037,23.667287450626507
9,90.28055130554557,23.667040359409796
10,90.150581631851,23.65894812206252
11,90.14166674448568,23.656662528307944
12,90.19327925028496,23.654438707357546
13,90.19428468870962,23.654438707357546
14,90.34758053385633,23.65085588471524
15,90.14139862757243,23.63986032557161
16,90.14113051065918,23.638871960704765
17,90.14099645220256,23.638377778271344
18,90.08274805280051,23.628432356798736
19,90.21828115244487,23.622316849185143
20,90.1550055609195,23.612618518929246
21,90.14528632281446,23.551154578772437
22,90.29724158339495,23.535587832119656
