PP Name,Technology,Fuel,Present Capacity (MW)/p_nom,marginal_cost_gas,marginal_cost_hfo,marginal_cost_hsd,marginal_cost_coal,marginal_cost_solar,marginal_cost_wind,marginal_cost_hydro
Chandpur 200MW (Desh energy),ICE,HFO,200.0,,38.33,,,,,
Import (Tripura),Import,Import,160.0,,,,,,,
Jangalia 52 MW PP (Lakdanavi),ICE,HFO,52.2,,42.85,,,,,
Cumilla 25 MW PP (Summit),ICE,Gas,25.0,35.34,,,,,,
Feni Lanka Power,ICE,HFO,114.0,,40.16,,,,,
Chowmuhani 113 MW,ICE,HFO,113.0,,40.19,,,,,
Chandpur 115(Doreen),ICE,HFO,115.0,,40.13,,,,,
Sonagazi 75 MW (AC) Solar Power Plant,Solar PV,Solar,75.0,,,,,0.0,,
RPCL 210MW CCPP,CCGT,Gas,210.0,23.87,,,,,,
Sarishabari 3 MW Solar Plant,Solar PV,Solar,2.71,,,,,0.0,,
Mymensingh 200 MW PP (United),ICE,HFO,200.0,,38.33,,,,,
Jamalpur 115 MW PP (United),ICE,HFO,115.0,,40.13,,,,,
Sutiakhali 50 MW Solar PP,Solar PV,Solar,50.0,,,,,0.0,,
Tangail Palli Power Gen 22 MW,ICE,HFO,22.0,,44.95,,,,,
Bhairob 54.5 MW,ICE,HFO,54.5,,42.69,,,,,
Moulvibazar 10 MW Solar Power Plant,Solar PV,Solar,0.0,,,,,,,
Fenchugonj CCPP Phase-1,CCGT,Gas,90.0,28.18,,,,,,
Fenchugonj CCPP Phase-2,CCGT,Gas,90.0,28.18,,,,,,
Kushiara 163 MW CCPP (KP),CCGT,Gas,163.0,25.08,,,,,,
Shajibazar 330 MW CCPP,CCGT,Gas,330.0,21.85,,,,,,
Shahjibazar GTPP Unit- 8 & 9,OCGT,Gas,66.0,39.33,,,,,,
Shahjibazar 86MW PP (Shahjibazar),ICE,Gas,86.0,31.87,,,,,,
Shahjibazar 100 MW GTPP,OCGT,Gas,100.0,37.5,,,,,,
Sylhet 225 MW CCPP,CCGT,Gas,231.0,23.43,,,,,,
Sylhet  20 MW GTPP,OCGT,Gas,20.0,45.09,,,,,,
Shahjahanulla 25 MW PP,ICE,Gas,25.0,35.34,,,,,,
Bibiana-II 341 MW CCPP (Summit),CCGT,Gas,341.0,21.71,,,,,,
Bibiyana-III 400 MW CCPP,CCGT,Gas,400.0,21.01,,,,,,
Bibiyana South 400 MW,CCGT,Gas,383.0,21.2,,,,,,
Bheramara GTPP Unit-3,OCGT,HSD,16.0,,,96.72,,,,
Bheramara (HVDC ),Import,Import,1000.0,,,,,,,
Faridpur 50 MW Peaking PP,ICE,HFO,54.0,,42.73,,,,,
Khulna 225 MW CCPP,CCGT,HSD/Gas,230.0,23.45,,40.45,,,,
Gopalganj 100 MW Peaking PP,ICE,HFO,109.0,,40.31,,,,,
Bheramara 410 MW CCPP,CCGT,Gas,410.0,20.9,,,,,,
Rupsha 105 MW PP (Orion rupsha),ICE,HFO,105.0,,40.44,,,,,
Madhumati 100 MW PP,ICE,HFO,105.0,,40.44,,,,,
Mongla Orion 100 MW Solar PP,Solar PV,Solar,100.0,,,,,0.0,,
Khulna 330 MW CCPP,CCGT,HSD/Gas,336.0,21.77,,38.08,,,,
Rampal 1320 MW (BIFPCL),Steam Turbine,Coal,1234.2,,,,20.7,,,
HVDC(Nepal),Import,Import,40.0,,,,,,,
Patuakhali 1320 MW (RNPL),Steam Turbine,Coal,1244.0,,,,20.68,,,
Barisal 110 MW PP (Summit ),ICE,HFO,110.0,,40.28,,,,,
Bhola  33 MW PP (Venture),ICE,Gas,11.04,36.99,,,,,,
Bhola 225 MW  CCPP,CCGT,Gas,194.0,24.24,,,,,,
Payra 1320 MW,Steam Turbine,Coal,1244.0,,,,20.68,,,
Bhola Nutan Biddut BD LTD,CCGT,Gas/HSD,220.0,23.65,,40.73,,,,
United Payra Power Ltd.,ICE,HFO,150.0,,39.26,,,,,
Barisal 307 MW,Steam Turbine,Coal,307.0,,,,26.0,,,
Barisal 1 MW Solar Plant,Solar PV,Solar,1.0,,,,,0.0,,
Pabna 64 MW Solar Plant,Solar PV,Solar,64.55,,,,,0.0,,
Baghabari 71 MW GTPP,OCGT,Gas,70.0,39.06,,,,,,
Baghabari  100 MW GTPP,OCGT,Gas,100.0,37.5,,,,,,
Baghabari  50 MW Peaking PP,ICE,HFO,52.0,,42.86,,,,,
Bera 70 MW Peaking PP,ICE,HFO,71.0,,41.77,,,,,
Katakhali 50 MW Peaking PP,ICE,HFO,50.0,,43.0,,,,,
Sirajgonj 225MW CCPP Unit-1,CCGT,Gas/HSD,214.0,23.78,,40.92,,,,
Sirajgonj 225MW CCPP Unit-2,CCGT,Gas/HSD,220.0,23.65,,40.73,,,,
Sirajgonj 225MW CCPP Unit-3,CCGT,Gas/HSD,220.0,23.65,,40.73,,,,
Sirajgonj 400 MW CCPP Unit-4,CCGT,Gas/HSD,413.792,20.86,,35.91,,,,
Santahar  50 MW Peaking PP,ICE,HFO,50.0,,43.0,,,,,
Natore 52 MW PP (Rajlanka),ICE,HFO,52.2,,42.85,,,,,
Chapainawabganj 100 MW Peaking PP,ICE,HFO,104.0,,40.47,,,,,
Bagura 113 MW PP (Confidence)-2,ICE,HFO,113.0,,40.19,,,,,
Bagura 113 MW PP (Confidence)-1,ICE,HFO,113.0,,40.19,,,,,
Sirajgonj 6.55 MW Solar,Solar PV,Solar,6.09,,,,,0.0,,
Adani Power Jharkhanda Ltd,Import,Import,1435.88,,,,,,,
Sirajganj 68 MW Solar Park,Solar PV,Solar,68.0,,,,,0.0,,
Pabna Solar 100 MW,Solar PV,Solar,100.0,,,,,0.0,,
Sirajganj 2 MW Wind Power Plant,Wind,Wind,2.0,,,,,,0.0,
Saidpur 150 MW Simple Cycle Power Plant,OCGT,HSD,162.443,,,66.31,,,,
Barapukuria TPP Unit-1 & 2,Steam Turbine,Coal,170.0,,,,27.46,,,
Barapukuria 275 MW TPP Unit-3,Steam Turbine,Coal,274.0,,,,26.31,,,
Rangpur 20 MW  GTPP,OCGT,HSD,20.0,,,93.21,,,,
Saidpur 20 MW GTPP,OCGT,HSD,20.0,,,93.21,,,,
Rangpur 113 MW PP (Confidence),ICE,HFO,113.0,,40.19,,,,,
Sympa Solar Power 8 MW,Solar PV,Solar,8.0,,,,,0.0,,
Energypac Power Venture Thakurgaon Ltd.,ICE,HFO,115.0,,40.13,,,,,
Intraco Solar 30 MW,Solar PV,Solar,30.0,,,,,0.0,,
Teesta Solar Limited,Solar PV,Solar,200.0,,,,,0.0,,
