name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
Motijheel_Bangabhaban_TL_2,Motijheel_132kV,Bangabhaban_132kV,0.5,0.015,0.12,2e-05,132,2,XLPE,False,Motijheel-Bangabhaban
Madanganj_Char Saidpur_TL_1,Madanganj_132kV,Char Saidpur_132kV,3.0,0.0677,0.4016,2.84e-06,132,2,Mallard+XLPE,False,Madanganj-Char Saidpur
Madanganj_Char Saidpur_TL_2,Madanganj_132kV,Char Saidpur_132kV,3.0,0.0677,0.4016,2.84e-06,132,2,Mallard+XLPE,False,Madanganj-Char Saidpur
Kamrangirchar_Zigatola_TL_1,Kamrangirchar_132kV,Zigatola_132kV,7.0,0.015,0.12,2e-05,132,2,XLPE,False,Kamrangirchar-Zigatola
Kamrangirchar_Zigatola_TL_2,Kamrangirchar_132kV,Zigatola_132kV,7.0,0.015,0.12,2e-05,132,2,XLPE,False,Kamrangirchar-Zigatola
Energaon_Mongla_TL_1,Energaon_132kV,Mongla_132kV,9.0,0.0852,0.4097,2.73e-06,132,1,Grosbeak,False,Energaon-Mongla
Hasnabad_Postagola_TL_1,Hasnabad_132kV,Postagola_132kV,2.0,0.015,0.12,2e-05,132,2,XLPE,False,Hasnabad-Postogola
Hasnabad_Postagola_TL_2,Hasnabad_132kV,Postagola_132kV,2.0,0.015,0.12,2e-05,132,2,XLPE,False,Hasnabad-Postogola
Bashundhara_Purbachal_TL_1,Bashundhara_132kV,Purbachal_132kV,5.5,0.015,0.12,2e-05,132,2,XLPE,False,Bashundhara-Purbachal
Bashundhara_Purbachal_TL_2,Bashundhara_132kV,Purbachal_132kV,5.5,0.015,0.12,2e-05,132,2,XLPE,False,Bashundhara-Purbachal
Chapai Nawabganj_Rahanpur_400kV_TL_1,Chapai Nawabganj_132kV,Rahanpur_400kV,52.0,0.065,0.39,2.73e-06,132,1,ACCC Grosbeak,False,Chapai Nawabganj-Rahanpur
LILO_Sholoshahar_Madunaghat_TL_1,Sholoshahar_132kV,Madunaghat_132kV,0.0,0.015,0.12,2e-05,132,1,XLPE,True,LILO of Madunaghat-Khulshi at Sholoshahar
Madunaghat_Kalurghat_TL_1,Madunaghat_132kV,Kalurghat_132kV,7.0,0.015,0.12,2e-05,132,2,XLPE,False,Madunaghat-Kalurghat
Madunaghat_Kalurghat_TL_2,Madunaghat_132kV,Kalurghat_132kV,7.0,0.015,0.12,2e-05,132,2,XLPE,False,Madunaghat-Kalurghat
Khulshi_Rampur_TL_1,Khulshi_132kV,Rampur_132kV,5.0,0.015,0.12,2e-05,132,1,XLPE,False,Khulshi-Halishahar LILO at Rampur
Rangpur_Rangpur_TL_1,Rangpur_132kV,Rangpur_132kV,35.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sudarganj Solar - Rangpur
Rangpur_Rangpur_TL_2,Rangpur_132kV,Rangpur_132kV,35.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sudarganj Solar - Rangpur
Rampura_230kV_Dhaka University (DU)_TL_1,Rampura_230kV,Dhaka University (DU)_132kV,7.5,0.015,0.12,2e-05,132,2,XLPE,False,Rampura-Dhaka University
Rampura_230kV_Dhaka University (DU)_TL_2,Rampura_230kV,Dhaka University (DU)_132kV,7.5,0.015,0.12,2e-05,132,2,XLPE,False,Rampura-Dhaka University
Aminbazar_230kV_Aminbazar_230kV_TL_1,Aminbazar_230kV,Aminbazar_230kV,0.0,0.026,0.321,3.4e-06,132,1,,False,Aminbazar 400/132kV transformer connecting132kV line
Sripur_Bhaluka_TL_1,Sripur_132kV,Bhaluka_132kV,22.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sripur-Bhaluka
Sripur_Bhaluka_TL_2,Sripur_132kV,Bhaluka_132kV,22.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sripur-Bhaluka
LILO_Mirzapur_Kaliakoir_230kV_TL_1,Mirzapur_132kV,Kaliakoir_230kV,1.75,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Kaliakoir-Tangail at Mirzapur
LILO_Mirzapur_Kaliakoir_230kV_TL_2,Mirzapur_132kV,Kaliakoir_230kV,1.75,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Kaliakoir-Tangail at Mirzapur
LILO_Mirzapur_Kaliakoir_230kV_TL_3,Mirzapur_132kV,Kaliakoir_230kV,1.75,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Kaliakoir-Tangail at Mirzapur
LILO_Mirzapur_Kaliakoir_230kV_TL_4,Mirzapur_132kV,Kaliakoir_230kV,1.75,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Kaliakoir-Tangail at Mirzapur
LILO_Sylhet_Sylhet_TL_1,Sylhet_132kV,Sylhet_132kV,2.0,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sylhet-Fenchuganj at Sylhet(S)
LILO_Sylhet_Sylhet_TL_2,Sylhet_132kV,Sylhet_132kV,2.0,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sylhet-Fenchuganj at Sylhet(S)
LILO_Sylhet_Sylhet_TL_3,Sylhet_132kV,Sylhet_132kV,2.0,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sylhet-Fenchuganj at Sylhet(S)
LILO_Sylhet_Sylhet_TL_4,Sylhet_132kV,Sylhet_132kV,2.0,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sylhet-Fenchuganj at Sylhet(S)
LILO_Ullapara_Sirajganj_TL_1,Ullapara_132kV,Sirajganj_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Sirajganj-Shahjadpur-Baghabari at Ullapara
LILO_Ullapara_Sirajganj_TL_2,Ullapara_132kV,Sirajganj_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Sirajganj-Shahjadpur-Baghabari at Ullapara
LILO_Ullapara_Sirajganj_TL_3,Ullapara_132kV,Sirajganj_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Sirajganj-Shahjadpur-Baghabari at Ullapara
LILO_Ullapara_Sirajganj_TL_4,Ullapara_132kV,Sirajganj_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Sirajganj-Shahjadpur-Baghabari at Ullapara
Madunaghat_Khulshi_TL_1,Madunaghat_132kV,Khulshi_132kV,1.0,0.015,0.12,2e-05,132,2,XLPE,False,LILO of Madunaghat-Khulshi (Circuit-2) atSholoshahor substation
Madunaghat_Khulshi_TL_2,Madunaghat_132kV,Khulshi_132kV,1.0,0.015,0.12,2e-05,132,2,XLPE,False,LILO of Madunaghat-Khulshi (Circuit-2) atSholoshahor substation
LILO_Rahanpur_400kV_Niamatpur_TL_1,Rahanpur_400kV,Niamatpur_132kV,2.0,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Niamatpur-Chowdala at Rahanpur
LILO_Rahanpur_400kV_Niamatpur_TL_2,Rahanpur_400kV,Niamatpur_132kV,2.0,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Niamatpur-Chowdala at Rahanpur
LILO_Rahanpur_400kV_Niamatpur_TL_3,Rahanpur_400kV,Niamatpur_132kV,2.0,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Niamatpur-Chowdala at Rahanpur
LILO_Rahanpur_400kV_Niamatpur_TL_4,Rahanpur_400kV,Niamatpur_132kV,2.0,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Niamatpur-Chowdala at Rahanpur
Bhaluka_Barmi_TL_1,Bhaluka_132kV,Barmi_132kV,32.5,0.065,0.39,2.73e-06,132,2,ACCC Grosbeak,False,Bhaluka- Barmi (BR Powergen)
Bhaluka_Barmi_TL_2,Bhaluka_132kV,Barmi_132kV,32.5,0.065,0.39,2.73e-06,132,2,ACCC Grosbeak,False,Bhaluka- Barmi (BR Powergen)
LILO_Ghatail_Tangail_TL_1,Ghatail_132kV,Tangail_132kV,1.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,True,LILO of Tangail-RPCL at Ghatail
LILO_Ghatail_Tangail_TL_2,Ghatail_132kV,Tangail_132kV,1.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,True,LILO of Tangail-RPCL at Ghatail
