name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
LILO_Daganbhuiyan_Feni_TL_1,Daganbhuiyan_132kV,Feni_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Feni-Chowmuhani at Dagunbhuyan
LILO_Daganbhuiyan_Feni_TL_2,Daganbhuiyan_132kV,Feni_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Feni-Chowmuhani at Dagunbhuyan
LILO_Daganbhuiyan_Feni_TL_3,Daganbhuiyan_132kV,Feni_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Feni-Chowmuhani at Dagunbhuyan
LILO_Daganbhuiyan_Feni_TL_4,Daganbhuiyan_132kV,Feni_132kV,2.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Feni-Chowmuhani at Dagunbhuyan
Rampura_230kV_Bashundhara_TL_1,Rampura_230kV,Bashundhara_132kV,11.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Rampura-Basundhara
Rampura_230kV_Bashundhara_TL_2,Rampura_230kV,Bashundhara_132kV,11.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Rampura-Basundhara
Sripur_Kodda_TL_1,Sripur_132kV,Kodda_132kV,9.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sripur-Kodda (Partial)
Sripur_Kodda_TL_2,Sripur_132kV,Kodda_132kV,9.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sripur-Kodda (Partial)
Sirajganj_Sirajganj_TL_1,Sirajganj_132kV,Sirajganj_132kV,10.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sirajganj Solar-Sirajganj Grid
Sirajganj_Sirajganj_TL_2,Sirajganj_132kV,Sirajganj_132kV,10.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sirajganj Solar-Sirajganj Grid
LILO_Sathia_Ishwardi_TL_1,Sathia_132kV,Ishwardi_132kV,0.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,True,LILO of Ishwardi-Baghabari line at Sathia
LILO_Sathia_Ishwardi_TL_2,Sathia_132kV,Ishwardi_132kV,0.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,True,LILO of Ishwardi-Baghabari line at Sathia
Kaliganj_Maheshpur_TL_1,Kaliganj_132kV,Maheshpur_132kV,26.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Kaliganj- Maheshpur
Kaliganj_Maheshpur_TL_2,Kaliganj_132kV,Maheshpur_132kV,26.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Kaliganj- Maheshpur
